AnalysisMethodID,Name_NO,Description_NO,Name_EN,Description_EN,Withdrawn,Protocol_Name,Comments
NS 4781,AAS grafittovn (NS 4781; Tilbaketrukket),"Metaller i vann, slam og sedimenter - Bestemmelse ved flammeløs atomabsorpsjonsspektrometri - Elektrotermisk atomisering i grafittovn - Spesielle retninglinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan og nikkel. Tilbaketrukket. Erstattet av NS-EN ISO 15586.",AAS grafittovn,"metals in water, slam and sedimenter - Bestemmelse ved flammeløs atomabsorpsjonsspektrometri - Elektrotermisk atomisering in grafittovn - Spesielle retninglinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan and nikkel. Withdrawn. Erstattet of NS-EN ISO 15586.",TRUE,AAS,
NS-EN ISO 12020 K3,AAS grafittovn (ISO 12020),Bestemmelse av aluminium - Atomabsorpsjon-spektrometrisk metode (ISO 12020:1997). Kap. 3: AAS grafittovn.,AAS grafittovn,Determination of aluminium - Atomabsorpsjon-spektrometrisk method. Kap. 3: AAS grafittovn.,FALSE,AAS,
NS-EN ISO 6468,Gasskromatografi (ISO 6468),"Bestemmelse av klorerte organiske insekticider, polyklorerte bifenyler og klorbenzener - Gasskromatografisk analyse etter væske-væske ekstraksjon (ISO 6468:1996)",Gas chromatography,"Determination of klorerte organiske insekticider, polyklorerte bifenyler and klorbenzener - Gasskromatografisk analysis etter væske-væske ekstraksjon",FALSE,Other,Gas Chromatography (of some kind)
NS 9815,Gasskromatografi (NS 9815; Tilbaketrukket),Gasskromatografisk analyse for bestemmelse av polysykliske aromatiske hydrokarboner (PAH). Tilbaketrukket. Erstattet av NS-ISO 28540:2011.,Gas chromatography,Gasskromatografisk analysis for bestemmelse of polysykliske aromatiske hydrokarboner (PAH). Withdrawn. Erstattet of NS-ISO 28540:2011.,TRUE,Other,Gas Chromatography (of some kind)
NS-ISO 6595,Spektrofotometri (ISO 6595),Bestemmelse av totalarsen - Spektrofotometrisk metode med sølvdietylditiokarbamat - (= EN 26595:1992) (ISO 6595:1982),Spectrophotometry,Determination of totalarsen - Spektrofotometrisk method with sølvdietylditiokarbamat -,FALSE,Spectrophotometry,
NS-EN ISO 11969,AAS hydridteknikk (ISO 11969; Tilbaketrukket),Bestemmelse av arsen - Atomabsorpsjons-spektrometrisk metode (hydridteknikk) (ISO 11969:1996). Tilbaketrukket.,AAS hydridteknikk,Determination of arsen - Atomabsorpsjons-spektrometrisk method (hydridteknikk). Withdrawn.,TRUE,AAS,
NS-EN ISO 10695,Gasskromatografi (ISO 10695),Bestemmelse av utvalgte organiske nitrogen- og fosforforbindelser - Gasskromatografiske metoder (ISO 10695:2000),Gas chromatography,Determination of selected organiske nitrogen- and fosforforbindelser - Gasskromatografiske metoder,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 11369,Væskekromatografi (ISO 11369),Bestemmelse av utvalgte plantevernmidler - Metode basert på væskekromatografi med UV-deteksjon etter fast-faseekstraksjon (ISO 11369:1997),Liquid chromatography,Determination of selected pesticides - method basert on liquid chromatography with UV-deteksjon etter fast-faseekstraksjon,FALSE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
ISO 11423-1,Gasskromatografi (ISO 11423-1),Determination of benzene and some derivatives - Part 1: Head-space gas chromatographic method,Gas chromatography,Determination of benzene and some derivatives - Part 1: Head-space gas chromatographic method,FALSE,Other,Gas Chromatography (of some kind)
NS-EN ISO 10301,Gasskromatografi (ISO 10301),Bestemmelse av svært flyktige halogenerte hydrokarboner - Gasskromatografisk metode (ISO 10301:1997),Gas chromatography,Determination of svært flyktige halogenerte hydrokarboner - Gasskromatografisk method,FALSE,Other,Gas Chromatography (of some kind)
NS-EN ISO 5961 K2,AAS flamme (ISO 5961),Bestemmelse av kadmium med atomabsorpsjons-spektrometri (ISO 5961:1994). Kap 2: AAS flamme.,AAS flamme,Determination of kadmium with atomabsorpsjons-spektrometri. Kap 2: AAS flamme.,FALSE,AAS,
NS-EN ISO 5961 K3,AAS grafittovn (ISO 5961),Bestemmelse av kadmium med atomabsorpsjons-spektrometri (ISO 5961:1994). Kap 3: AAS grafittovn.,AAS grafittovn,Determination of kadmium with atomabsorpsjons-spektrometri. Kap 3: AAS grafittovn.,FALSE,AAS,
NS-EN 12918,Gasskromatografi (NS-EN 12918),"Bestemmelse av paration, paration-metyl og noen andre organofosfor-forbindelser i vann ved diklormetanekstraksjon og gasskromatografisk analyse",Gas chromatography,"Determination of paration, paration-metyl and noen andre organofosfor-forbindelser in water ved diklormetanekstraksjon and gasskromatografisk analysis",FALSE,Other,Gas Chromatography (of some kind)
NS-EN 1233-1,AAS flamme (NS-EN 1233),Bestemmelse av krom - Atomabsorpsjonspektrometriske metoder.,AAS flamme,Determination of krom - Atomabsorpsjonspektrometriske metoder.,FALSE,AAS,
NS-EN 1233-2,AAS grafittovn (NS-EN 1233),Bestemmelse av krom - Atomabsorpsjonspektrometriske metoder.,AAS grafittovn,Determination of krom - Atomabsorpsjonspektrometriske metoder.,FALSE,AAS,
NS-EN ISO 18412,Spektrofotometri (ISO 18412),Bestemmelse av krom (VI) - Fotometrisk metode for lite forurenset vann (ISO 18412:2005),Spectrophotometry,Determination of krom (VI) - Fotometrisk method for lite forurenset water,FALSE,Spectrophotometry,
NS-EN ISO 15680,Gasskromatografi (ISO 15680),"Bestemmelse av utvalgte monosykliske aromatiske hydrokarboner, naftalen og klorinerte forbindelser - Gasskromatisk metode som anvender avdrivning og oppfanging (purge and trap) og termisk avdamping (ISO 15680:2003)",Gas chromatography,"Determination of selected monosykliske aromatiske hydrokarboner, naftalen and klorinerte forbindelser - Gasskromatisk method som anvender avdrivning and oppfanging (purge and trap) and termisk avdamping",FALSE,Other,Gas Chromatography (of some kind)
NS-EN ISO 18856,Gasskromatografi (ISO 18856),Bestemmelse av utvalgte ftalater med gasskromatografi/massespektrometri (ISO 18856:2004),Gas chromatography,Determination of selected ftalater with gasskromatografi/massespektrometri,FALSE,GC-MS,
NS 4741,Spektrofotometri (NS 4741:1975),Bestemmelse av jern - Fotometrisk metode.,Spectrophotometry,Determination of jern - Fotometrisk method.,FALSE,Spectrophotometry,
NS-EN ISO 17852,AFS (ISO 17852),Bestemmelse av kvikksølv - Atomfluorescensspektrometrisk metode.,AFS,Determination of kvikksølv - Atomfluorescensspektrometrisk method.,FALSE,Fluorescence,
NS-EN 13506,AFS (NS-EN 13506; Tilbaketrukket),Bestemmelse av kvikksølv ved atomfluoresensspektrometri. Tilbaketrukket. Erstattet av NS-EN ISO 17852.,AFS,Determination of kvikksølv ved atomfluoresensspektrometri. Withdrawn. Erstattet of NS-EN ISO 17852.,TRUE,Fluorescence,
NS 4768,AAS (NS 4768:1989; Tilbaketrukket),Bestemmelse av kvikksølv ved kalddamp atomabsorpsjonsspektrometri - Oksidasjon med salpetersyre. Tilbaketrukket. Erstattet av NS-EN 1483.,AAS,Determination of kvikksølv ved kalddamp atomabsorpsjonsspektrometri - Oksidasjon with salpetersyre. Withdrawn. Erstattet of NS-EN 1483.,TRUE,AAS,
NS-EN 12338,AAS amalgamering (NS-EN 12338),Bestemmelse av kvikksølv - Metode etter anriking med amalgamering. Tilbaketrukket. Erstattet av NS-EN ISO 12846:2012,AAS amalgamering,Determination of kvikksølv - method etter anriking with amalgamering. Withdrawn. Erstattet of NS-EN ISO 12846:2012,FALSE,AAS,
NS-EN 1483,AAS (NS-EN 1483; Tilbaketrukket),Bestemmelse av kvikksølv. Tilbaketrukket. Erstattet av NS-EN ISO 12846:2012,AAS,Determination of kvikksølv. Withdrawn. Erstattet of NS-EN ISO 12846:2012,TRUE,AAS,
NS 4742,Spektrofotometri (NS 4742:1975; Tilbaketrukket),Bestemmelse av mangan - Fotometrisk metode. Tilbaketrukket,Spectrophotometry,Determination of mangan - Fotometrisk method. Withdrawn,TRUE,Spectrophotometry,
NS-EN ISO 9377-2,Gasskromatografi (ISO 9377-2),Bestemmelse av olje i vann - Del 2: Metode basert på løsemiddelekstraksjon og gasskromatografi (ISO 9377-2:2000),Gas chromatography,Determination of olje in water - Part 2: method basert on løsemiddelekstraksjon and gasskromatografi,FALSE,Other,Gas Chromatography (of some kind)
NS-EN 1485,Titrimetrisk metode (NS-EN 1485; Tilbaketrukket),Bestemmelse av adsorberende organisk bundne halogener (AOX) Tilbaketrukket. Erstattet av NS-EN ISO 9562.,Titrimetric method,Determination of adsorberende organisk bundne halogener (AOX) Withdrawn. Erstattet of NS-EN ISO 9562.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN ISO 9562,Titrimetrisk metode (ISO 9562),Bestemmelse av adsorberbare organisk bundne halogener (AOX) (ISO 9562:2004),Titrimetric method,Determination of adsorberbare organisk bundne halogener (AOX),FALSE,Other,Classical/non-instrumental analytical method
NS 4746,Spektrofotometri (NS 4746:1975; Tilibaketrukket),Bestemmelse av ammoniumnitrogen. Tilbaketrukket,Spectrophotometry,Determination of ammoniumnitrogen. Withdrawn,FALSE,Spectrophotometry,
NS-EN ISO 11732 K3,Spektrofotometri FIA (ISO 11732),Bestemmelse av ammoniumnitrogen - Metoder med automatisert flyt (CFA og FIA) og spektrometrisk bestemmelse (ISO 11732:2005). Kap. 3: Injeksjonsmetode (FIA).,Spectrophotometry FIA,Determination of ammoniumnitrogen - Metoder with automatisert flyt (CFA and FIA) and spektrometrisk bestemmelse. Kap. 3: Injeksjonsmetode (FIA).,FALSE,Spectrophotometry,
NS-EN ISO 11732 K4,Spektrofotometri CFA (ISO 11732),Bestemmelse av ammoniumnitrogen - Metoder med automatisert flyt (CFA og FIA) og spektrometrisk bestemmelse (ISO 11732:2005). Kap. 4: Kontinuerlig gjennomstrømning (CFA).,Spectrophotometry CFA,Determination of ammoniumnitrogen - Metoder with automatisert flyt (CFA and FIA) and spektrometrisk bestemmelse. Kap. 4: Kontinuerlig gjennomstrømning (CFA).,FALSE,Spectrophotometry,
NS-EN ISO 14911,Væskekromatografi (ISO 14911),"Bestemmelse av oppløst Li+, Na+, NH4+, K+, Mn2+, Ca2+, Mg2+, Sr2+ og Ba2+ ved ionekromatografi - Metode for vann og avløpsvann (ISO 14911:1998)",Liquid chromatography,"Determination of dissolved Li+, Na+, NH4+, K+, Mn2+, Ca2+, Mg2+, Sr2+ and Ba2+ ved ionekromatografi - method for water and wastewater",FALSE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
NS-EN ISO 9963-1,Titrimetrisk metode (ISO 9963-1),Bestemmelse av alkalitet - Del 1: Bestemmelse av total og sammensatt alkalitet (ISO 9963-1:1994),Titrimetric method,Determination of alkalitet - Part 1: determination of total and sammensatt alkalitet,FALSE,Other,Classical/non-instrumental analytical method
NS 4758,Manometrisk metode (NS 4758:1981),"Biokjemisk oksygenforbruk, BOD - Manometrisk metode.",Manometrisk metode,"Biokjemisk oksygenforbruk, BOD - Manometrisk method.",FALSE,Other,Could not determine specific analytical technique
NS-EN 1899-1,Titrimetrisk metode fortynnet (NS-EN 1899-1; Tilbaketrukket),Bestemmelse av biokjemisk oksygenforbruk etter n dager (BOFn) - Del 1: Metode basert på fortynning og poding etter tilsetting med allyltiourea. Tilbaketrukket. Erstattet av NS-EN ISO 5815-1:2019.,Titrimetric method fortynnet,Determination of biokjemisk oksygenforbruk etter n dager (BOFn) - Part 1: method basert on fortynning and poding etter tilsetting with allyltiourea. Withdrawn. Erstattet of NS-EN ISO 5815-1:2019.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN 1899-2,Titrimetrisk metode ufortynnet (NS-EN 1899-2),"Bestemmelse av biokjemisk oksygenforbruk etter n dager (BOFn) - Del 2: Metode basert på ufortynnede prøver (ISO 5815:1989, modifisert)",Titrimetric method ufortynnet,Determination of biokjemisk oksygenforbruk etter n dager (BOFn) - Part 2: method basert on ufortynnede prøver,FALSE,Other,Classical/non-instrumental analytical method
NS 4722,Spektrofotometri (NS 4722:1973; Tilbaketrukket),Bestemmelse av fargetall. Tilbaketrukket. Erstattet av NS 4787.,Spectrophotometry,Determination of colour number. Withdrawn. Erstattet of NS 4787.,TRUE,Spectrophotometry,
NS 4786,Visuell metode (NS 4786; Tilbaketrukket),Bestemmelse av fargetall - Komparatormetode. Tilbaketrukket. Erstattet av NS-EN ISO 7887.,Visual method,Determination of colour number - Komparatormetode. Withdrawn. Erstattet of NS-EN ISO 7887.,TRUE,Other,Classical/non-instrumental analytical method
NS 4787,Spektrofotometri (NS 4787; Tilbaketrukket),Bestemmelse av farge - Metode for spektrofotometrisk måling av absorbans ved 410 nm. Tilbaketrukket. Erstattet av NS-EN ISO 7887:2011 C.,Spectrophotometry,Determination of colour - method for spektrofotometrisk måling of absorbans ved 410 nm. Withdrawn. Erstattet of NS-EN ISO 7887:2011 C.,TRUE,Spectrophotometry,
NS-EN ISO 7887 K4,Visuell metode (ISO 7887; Tilbaketrukket),Bestemmelse av farge - Kap. 4: Visuell metode for å bestemme farge i naturlig vann (ISO 7887:1994). Tilbaketrukket. Erstattet av NS-EN ISO 7887:2011 D.,Visual method,Determination of colour - Kap. 4: Visuell method for å bestemme colour in naturlig water. Withdrawn. Erstattet of NS-EN ISO 7887:2011 D.,TRUE,Other,Classical/non-instrumental analytical method
NS 4724,Spektrofotometri (NS 4724; Tilbaketrukket),Bestemmelse av fosfat. Tilbaketrukket. Erstattet av NS-EN 1189.,Spectrophotometry,Determination of phosphate. Withdrawn. Erstattet of NS-EN 1189.,TRUE,Spectrophotometry,
NS-EN 1189,Spektrofotometri (NS-EN 1189; Tilbaketrukket),Bestemmelse av fosfor - Spektrometrisk metode med ammoniummolybdat. Tilbaketrukket. Erstattet av NS-EN ISO 6878.,Spectrophotometry,Determination of phosphorus - Spektrometrisk method with ammoniummolybdat. Withdrawn. Erstattet of NS-EN ISO 6878.,TRUE,Spectrophotometry,
NS-EN ISO 6878,Spektrofotometri (ISO 6878),Bestemmelse av fosfor - Spektrometrisk metode med ammoniummolybdat (ISO 6878:2004).,Spectrophotometry,Determination of phosphorus - Spektrometrisk method with ammoniummolybdat.,FALSE,Spectrophotometry,
NS-EN ISO 15681-1,Spektrofotometri FIA (ISO 15681-1),Bestemmelse av ortofosfat og totalt fosforinnhold ved automatisert analyse (FIA og CFA) - Del 1: Injeksjonsmetode (FIA) (ISO 15681:2003),Spectrophotometry FIA,Determination of ortofosfat and total fosforinnhold ved automatisert analysis (FIA and CFA) - Part 1: Injeksjonsmetode (FIA),FALSE,Spectrophotometry,
NS-EN ISO 15681-2,Spektrofotometri CFA (ISO 15681-2; Tilbaketrukket),Bestemmelse av ortofosfat og totalt fosforinnhold ved automatisert analyse (FIA og CFA) - Del 2: Kontinuerlig gjennomstrømning (CFA) (ISO 15681:2003). Tilbaketrukket. Erstattet av NS-EN ISO 15681-2:2018.,Spectrophotometry CFA,Determination of ortofosfat and total fosforinnhold ved automatisert analysis (FIA and CFA) - Part 2: Kontinuerlig gjennomstrømning (CFA). Withdrawn. Erstattet of NS-EN ISO 15681-2:2018.,TRUE,Spectrophotometry,
NS 4720,Elektrokjemisk metode (NS 4720:1979; Tilbaketrukket),Måling av pH. Tilbaketrukket. Erstattet av NS-EN ISO 10523:2012.,Electrochemical method,Measurement of pH. Withdrawn. Erstattet of NS-EN ISO 10523:2012.,TRUE,Other,Classical/non-instrumental analytical method
NS 4735,Kolorimetrisk metod (NS 4735:1976; Tilbaketrukket),Bestemmelse av sulfid i naturlig vann - Kolorimetrisk metode Tilbaketrukket. Erstattet av NS-ISO 10530.,Kolorimetrisk metod,Determination of sulfid in naturlig water - Kolorimetrisk method Withdrawn. Erstattet of NS-ISO 10530.,TRUE,Spectrophotometry,
NS-ISO 10530,Spektrofotometri (ISO 10530),Vannundersøkelse - Bestemmelse av løst sulfid - Fotometrisk metode basert på metylenblått,Spectrophotometry,Vannundersøkelse - determination of løst sulfid - Fotometrisk method based on metylenblått,FALSE,Spectrophotometry,
NS-ISO 13358,Spektrofotometri (ISO 13358),Vannundersøkelse - Bestemmelse av lett frigjørbar sulfid.,Spectrophotometry,Vannundersøkelse - determination of lett frigjørbar sulfid.,FALSE,Spectrophotometry,
NS 4747,Spektrofotometri (NS 4747; Tilbaketrukket),Bestemmelse av aluminium - Fotometrisk metode. Tilbaketrukket. Erstattet av NS 4799.,Spectrophotometry,Determination of aluminium - Fotometrisk method. Withdrawn. Erstattet of NS 4799.,TRUE,Spectrophotometry,
NS 4799,Spektrofotometri (NS 4799; Tilbaketrukket),Bestemmelse av syreløselig aluminium i vann - Fotometrisk metode. Tilbaketrukket,Spectrophotometry,Determination of syreløselig aluminium in water - Fotometrisk method. Withdrawn,TRUE,Spectrophotometry,
NS 4775,AAS flamme (NS 4775),Atomabsorpsjonsspektrometri i flamme - Spesielle retningslinjer for natrium og kalium,AAS flamme,Atomabsorpsjonsspektrometri in flamme - Spesielle retningslinjer for natrium and kalium,FALSE,AAS,
NS 4728,Titrimetrisk metode (NS 4728:1983; Tilbaketrukket),Bestemmelse av kalsium og magnesium - Titrimetrisk metode. Tilbaketrukket.,Titrimetric method,Determination of kalsium and magnesium - Titrimetrisk method. Withdrawn.,TRUE,Other,Classical/non-instrumental analytical method
NS 4776,AAS flamme (NS 4776; Tilbaketrukket),Atomabsorpsjonsspektrometri i flamme - Spesielle retningslinjer for kalsium og magnesium. Tilbaketrukket. Erstattet av NS-EN ISO 7980.,AAS flamme,Atomabsorpsjonsspektrometri in flamme - Spesielle retningslinjer for kalsium and magnesium. Withdrawn. Erstattet of NS-EN ISO 7980.,TRUE,AAS,
NS-EN ISO 7980,AAS flamme (ISO 7980),Bestemmelse av kalsium og magnesium - Atomabsorpsjonspektrometrisk metode (ISO 7980:1986),AAS flamme,Determination of kalsium and magnesium - Atomabsorpsjonspektrometrisk method,FALSE,AAS,
NS-EN ISO 11885,ICP-AES (ISO 11885; Tilbaketrukket),Bestemmelse av 33 grunnstoffer ved induktivt koblet plasma-atomemisjonsspektrometri (ISO 11885:1996). Tilbaketrukket. Erstattet av NS-EN ISO 11885:2009.,ICP-AES,Determination of 33 grunnstoffer ved induktivt koblet plasma-atomemisjonsspektrometri. Withdrawn. Erstattet of NS-EN ISO 11885:2009.,TRUE,ICP-OES,
NS 4754,Titrimetrisk metode (NS 4754:1981; Tilbaketrukket),Alkalitet - Potensiometrisk metode. Tilbaketrukket. Erstattet av NS-EN ISO 9963-2.,Titrimetric method,Alkalitet - Potensiometrisk method. Withdrawn. Erstattet of NS-EN ISO 9963-2.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN ISO 9963-2,Titrimetrisk metode (ISO 9963-2),Bestemmelse av alkalitet - Del 2: Bestemmelse av karbonatalkalitet (ISO 9963-2:1994),Titrimetric method,Determination of alkalitet - Part 2: determination of karbonatalkalitet,FALSE,Other,Classical/non-instrumental analytical method
NS 4748,Titrimetrisk metode (NS 4748; Tilbaketrukket),Bestemmelse av kjemisk oksygenforbruk - Oksidasjon med dikromat (CODcr). Tilbaketrukket. Erstattet av NS-ISO 6060.,Titrimetric method,Determination of kjemisk oksygenforbruk - Oksidasjon with dikromat (CODcr). Withdrawn. Erstattet of NS-ISO 6060.,TRUE,Other,Classical/non-instrumental analytical method
NS-ISO 6060,Titrimetrisk metode (ISO 6060; Tilbaketrukket),Bestemmelse av kjemisk oksygenforbruk (ISO 6060:1989). Tilbaketrukket. Erstattet av NS-ISO 15705:2002.,Titrimetric method,Determination of kjemisk oksygenforbruk. Withdrawn. Erstattet of NS-ISO 15705:2002.,TRUE,Other,Classical/non-instrumental analytical method
NS 4759,Titrimetrisk metode (NS 4759; Tilbaketrukket),Bestemmelse av kjemisk oksygenforbruk COD Mn - Oksidasjon med permanganat. Tilbaketrukket. Erstattet av NS-EN ISO 8467.,Titrimetric method,Determination of kjemisk oksygenforbruk COD Mn - Oksidasjon with permanganat. Withdrawn. Erstattet of NS-EN ISO 8467.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN ISO 8467,Titrimetrisk metode (ISO 8467),Bestemmelse av permanganatindeks (ISO 8467:1993),Titrimetric method,Determination of permanganatindeks,FALSE,Other,Classical/non-instrumental analytical method
