"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","LATITUDE","LONGITUDE","SITE_COORDINATE_SYSTEM","COUNTRY_ISO","OCEAN_IHO","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"Vannmiljø_056-56371","Vannmiljø Station Forvatnet, HORIFO01","Lake, pond, pool, reservoir","Water column, pelagic zone",60.46992185322417,5.330513148736731,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_041-56372","Vannmiljø Station Gulhaugvatnet, HORIGU01","Lake, pond, pool, reservoir","Water column, pelagic zone",59.518453788210955,5.433551965242343,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_064-56374","Vannmiljø Station Husdalsvatnet, HORIHV01","Lake, pond, pool, reservoir","Water column, pelagic zone",60.65065059045768,5.5010916920203465,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs europa- og riksveier"
"Vannmiljø_057-56375","Vannmiljø Station Kvernavatnet","River, stream, canal","Water column, pelagic zone",60.35519278412648,5.100583710723399,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_039-56392","Vannmiljø Station Toskatjørn, ROGITO01","Lake, pond, pool, reservoir","Water column, pelagic zone",59.41118339919429,5.349026373239998,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_069-56393","Vannmiljø Station Husevatnet, SOFIHU01","Lake, pond, pool, reservoir","Water column, pelagic zone",60.936341895568894,5.500607583020631,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_123-56397","Vannmiljø Station Kinnsettjønna, pekagisk","Lake, pond, pool, reservoir","Water column, pelagic zone",63.421341684556126,10.748396124089496,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge.
Malvik kommune: Undersøkelse av småkreps."
"Vannmiljø_056-56454","Vannmiljø Station Liavatnet","Lake, pond, pool, reservoir","Water column, pelagic zone",60.47270311468777,5.340227876552489,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs europa- og riksveier."
"Vannmiljø_056-57035","Vannmiljø Station Bergen lufthavn Flesland, ENBR-LVN (Langvatnet)","Lake, pond, pool, reservoir","Water column, pelagic zone",60.303995900194906,5.2213611620346505,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Dokumenterer eventuell påvirkning fra lufthavndrift på Langvatnet (prøve tas fra øverste 1m). Mottar avrenning fra taksebane Yankee."
"Vannmiljø_056-57036","Vannmiljø Station Bergen lufthavn Flesland, ENBR-LVS (Langvatnet)","Lake, pond, pool, reservoir","Water column, pelagic zone",60.299938516588426,5.220924653641839,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Dokumenterer eventuell påvirkning fra lufthavndrift på vannet. Mottar avrenning fra apron nord og ved eventuell lekkasje fra deiceområde."
"Vannmiljø_056-57039","Vannmiljø Station Bergen lufthavn Flesland, ENBR-LB1 (Lønningsbekken)","River, stream, canal","Water column, pelagic zone",60.28126084791067,5.227439310848658,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Mottar avrenning fra sørlig del av rullebane, oppstillingsplasser samt overvann fra parkeringsområder, veibaner, etc.. Dokumenterer bl.a. organisk belastning på bekken."
"Vannmiljø_056-57041","Vannmiljø Station Bergen lufthavn Flesland, ENBR-SVB","River, stream, canal","Water column, pelagic zone",60.294033794009074,5.233110736756425,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Fører med seg vann fra Træsvatn og jordbruksarealene oppstrøms lufthavnen, renner videre ut i Langavatn. Benyttes som referansepunkt for å vite hva som tilføres lufthavnens område fra kilder oppstrøms."
"Vannmiljø_006-58048","Vannmiljø Station Trosterudbekken utløp kulvert mot Alna","River, stream, canal","Water column, pelagic zone",59.92199526289049,10.836937662671536,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Prøvepunkt noen meter etter utløp fra kulvert."
"Vannmiljø_024-59558","Vannmiljø Station Møska oppstrøms Røiskårvann (BU7)","River, stream, canal","Water column, pelagic zone",58.20794263227116,7.0318584141318,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Overvåking i kalkede laksevassdrag: Biologisk stasjon bunndyr (referanse)"
"Vannmiljø_139-61064","Vannmiljø Station Skorovasselva","River, stream, canal","Water column, pelagic zone",64.66500835717825,12.943107697277929,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_057-61701","Vannmiljø Station Utløp Stovevatnet","River, stream, canal","Water column, pelagic zone",60.362629056456804,5.1314201308157354,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_139-63457","Vannmiljø Station Sandåa","River, stream, canal","Water column, pelagic zone",64.92550257981773,13.175481033996654,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vannovervåking SWECO 2013"
"Vannmiljø_055-63640","Vannmiljø Station Lekvenvatnet","Lake, pond, pool, reservoir","Water column, pelagic zone",60.16486000171281,5.441440011146321,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_039-63652","Vannmiljø Station Bongsatjørna, ROGIBO01","Lake, pond, pool, reservoir","Water column, pelagic zone",59.421710002117344,5.437730010166196,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_002-79526","Vannmiljø Station Mjøsa, ytre Åkersvika","Lake, pond, pool, reservoir","Water column, pelagic zone",60.785960000795626,11.099329999980249,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_018-80321","Vannmiljø Station Langgangselva 3.20, D2","River, stream, canal","Water column, pelagic zone",58.56372726240421,8.89753747126891,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Prøvetaking av begroingsorganismer og vannkjemi"
"Vannmiljø_018-80326","Vannmiljø Station Mørfjærbekken 5,10, A3","River, stream, canal","Water column, pelagic zone",58.49796191936548,8.840597326236947,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_018-80330","Vannmiljø Station Sagenbekken 4.20, E2","River, stream, canal","Water column, pelagic zone",58.53565679346034,8.855969768102916,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Prøvetaking av begroingsorganismer og vannkjemi"
"Vannmiljø_019-80331","Vannmiljø Station Songebekken 6.10, B","River, stream, canal","Water column, pelagic zone",58.47514136351086,8.796893687234437,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_018-80526","Vannmiljø Station Storelva (1.10)","River, stream, canal","Water column, pelagic zone",58.641828001534954,8.912617000145174,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_018-80529","Vannmiljø Station Sidebekk ved Bjørnstad (1.11)","River, stream, canal","Water column, pelagic zone",58.640244301850174,8.911001202949286,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: 1.11 BJO
Bunndyr og fiskeundersøkelser gjennomført nedstrøms vei og vandringshinder."
"Vannmiljø_018-80530","Vannmiljø Station Sidebekk fra Myklebustad (1.21)","River, stream, canal","Water column, pelagic zone",58.63330729904204,8.885380435734366,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: 1.21 MYK (ved Myklebustad. Bekk: Langbekk). 
Vannkjemi, bunndyr, fisk og begroingsalger"
"Vannmiljø_018-80536","Vannmiljø Station Vennevann bekk (2.41)","River, stream, canal","Water column, pelagic zone",58.60639695234192,8.903597861203817,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: 2.41 VEN
Bekk ned mot Vennevann. Punkt ved utløp Vennevann nord."
"Vannmiljø_018-80537","Vannmiljø Station Vennevann bekk (2.21)","River, stream, canal","Water column, pelagic zone",58.60432007023563,8.901918844983793,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: 2.21 HEF
Bekk ned mot Vennevann, vest fra Heftedalen. Punkt ved utløp Vennevann"
"Vannmiljø_018-80540","Vannmiljø Station Bekk fra Kroktjenn (3.41)","River, stream, canal","Water column, pelagic zone",58.57902666060338,8.900500826118115,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Bekk fra Kroktjenn mot Langangselva. Punkt nedstrøms Skrubbedalen"
"Vannmiljø_018-80543","Vannmiljø Station Bekk nedstrøms Kroktjern (3.32)","River, stream, canal","Water column, pelagic zone",58.55792899660569,8.87464727135959,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_002-80945","Vannmiljø Station Åkersvika, Å9","Lake, pond, pool, reservoir","Water column, pelagic zone",60.79066000127979,11.112960000291617,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_002-80953","Vannmiljø Station Mjøsa, M2","Lake, pond, pool, reservoir","Water column, pelagic zone",60.78321000131107,11.095790000513844,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_018-82123","Vannmiljø Station Mjørfjærvassdraget, Røydalen bru (5.50)","River, stream, canal","Water column, pelagic zone",58.513597917218625,8.828841215099038,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_019-82127","Vannmiljø Station Songevassdraget (6.2)","River, stream, canal","Water column, pelagic zone",58.484729349181265,8.800618600085475,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Nedstrøms omlegging Songebekken"
"Vannmiljø_019-82128","Vannmiljø Station Songevassdraget, referanse (6.3)","River, stream, canal","Water column, pelagic zone",58.493145292945975,8.8067853348107,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_019-82129","Vannmiljø Station Songevassdraget (6.4)","River, stream, canal","Water column, pelagic zone",58.493523456107276,8.801490549935325,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Avrenning fra veifylling fylkesvei"
"Vannmiljø_019-82135","Vannmiljø Station Barbuvassdraget (7.8)","River, stream, canal","Water column, pelagic zone",58.49292356088425,8.766613991683071,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: 7.8 JOV
Avrenning fra vegfylling E18, utslipp av overvann via rensedam"
"Vannmiljø_139-82151","Vannmiljø Station Grungstadvatnet, utløp","River, stream, canal","Water column, pelagic zone",64.55508955340629,12.18595875213055,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Basisovervåking (Økofersk) - utløp bunndyr"
"Vannmiljø_018-82187","Vannmiljø Station Bekk til Totjern (5.4)","River, stream, canal","Water column, pelagic zone",58.51470833013873,8.83398645905712,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_002-83311","Vannmiljø Station Fjetrebekken ved Atlungstad brenneri","River, stream, canal","Water column, pelagic zone",60.759415128388284,11.07922184347608,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_077-83593","Vannmiljø Station Sogndal lufthamn, Haukåsen. P2","River, stream, canal","Water column, pelagic zone",61.16014795564056,7.1476138636982816,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Ytstrudsbekken. Nedstrøms lufthavnområdet."
"Vannmiljø_018-84132","Vannmiljø Station Vennevann, hovedløp (2.50)","River, stream, canal","Water column, pelagic zone",58.576701840278595,8.920718558381061,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Ny stasjon nedstrøms Vennevann/vålevann, Utløpet til Sagtjenn, innløp Kvastadkilen"
"Vannmiljø_018-84134","Vannmiljø Station Langerødbekken (5.99)","River, stream, canal","Water column, pelagic zone",58.51128296923218,8.814550866340891,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Oppstrøms bru ved Mørland"
"Vannmiljø_019-84135","Vannmiljø Station Songevassdraget, sidebekk (6.01)","River, stream, canal","Water column, pelagic zone",58.49812461753325,8.78428066952567,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Utløp Piletjenn, nedstrøms veg"
"Vannmiljø_018-84139","Vannmiljø Station Vålevasslona (2.46)","River, stream, canal","Water column, pelagic zone",58.59358858782598,8.907669040751193,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Stasjon vannkjemi"
"Vannmiljø_012-84552","Vannmiljø Station Damtjernbekken, Kjemperud","River, stream, canal","Water column, pelagic zone",59.84031369920825,9.901327880985493,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_012-84556","Vannmiljø Station Hoenselva, Nedre Hoen","River, stream, canal","Water column, pelagic zone",59.773982601666425,9.897413572447583,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_012-84559","Vannmiljø Station Grorudbekken, Haugen","River, stream, canal","Water column, pelagic zone",59.78036331447491,9.857915452101606,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_012-84580","Vannmiljø Station Lerbergsbekken utløp","River, stream, canal","Water column, pelagic zone",59.774438866554874,9.921268587103905,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_056-85247","Vannmiljø Station Bergen lufthavn Flesland, ENBR-FEO (Fleslandselven)","River, stream, canal","Water column, pelagic zone",60.29770270478114,5.21375753199102,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Fører vann fra Langavatn til Fleslandsvika og mottar avrenning fra rullebane."
"Vannmiljø_012-85822","Vannmiljø Station Hagatjernbekken, oppstrøms Miletjern","River, stream, canal","Water column, pelagic zone",59.745969811722894,10.036328305069057,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_008-87616","Vannmiljø Station 02-BK Isibekken - innløp bekkelukking","River, stream, canal","Water column, pelagic zone",59.93887075672987,10.43951428342871,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Punkt er oppstrøms avfallsdeponiene Isi I og Isi II og er med i miljøovervåkningen av deponiene"
"Vannmiljø_008-87617","Vannmiljø Station 03-BK Isibekken - utløp bekkelukking","River, stream, canal","Water column, pelagic zone",59.93521448986405,10.43636302752395,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Punkt er nedstrøms avfallsdeponiene Isi I og Isi II og er med i miljøovervåkningen av deponiene"
"Vannmiljø_008-87618","Vannmiljø Station 10-BK Isielva - ovenfor Smestad","River, stream, canal","Water column, pelagic zone",59.934777836666875,10.43248578259851,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Punkt er oppstrøms avfallsdeponiene Isi I og Isi II og er med i miljøovervåkningen av deponiene"
"Vannmiljø_008-87619","Vannmiljø Station 11-BK Isielva - ved Bjørum bru","River, stream, canal","Water column, pelagic zone",59.9309280589254,10.440902428051244,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Punkt er nedstrøms avfallsdeponiene Isi I og Isi II og er med i miljøovervåkningen av deponiene"
"Vannmiljø_008-87623","Vannmiljø Station 15-BK Overvann - utløp siderør til Isibekken","River, stream, canal","Water column, pelagic zone",59.93518501082856,10.436316904812955,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Punkt er nedstrøms avfallsdeponiene Isi I og Isi II og er med i miljøovervåkningen av deponiene"
"Vannmiljø_008-87630","Vannmiljø Station 32-BK Øverlandselva - ved Øverland Gård","River, stream, canal","Water column, pelagic zone",59.9323220672448,10.565778626703358,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Punkt er oppstrøms avfallsdeponiene Øverland I og II og er med i miljøovervåkningen av deponiene"
