ActivityID,Name,Name_EN,Description,Description_EN,Name_EN_Short
ELMU,Overvåking av elvemusling,Freshwater pearl mussel monitoring,Statlig miljøovervåking: Overvåkingen dokumenterer utviklingen i bestander av elvemusling over tid i hele landet og behovet for tiltak. Elvemusling overvåkes i 40 lokaliteter fordelt på hele landet. Programperiode: 2000-2015 og 2018-2023.,State environmental monitoring: The monitoring documents the development of freshwater pearl mussel populations over time throughout the country and the need for measures. Freshwater pearl mussel is monitored at 40 sites distributed across the country. Program period: 2000-2015 and 2018-2023.,Freshwater Pearl Mussel
ELVE,Elveovervåkingsprogrammet,River monitoring program,"Statlig miljøovervåking: Elveovervåkingsprogrammet startet i 2017 og er en arvtager av Elvetilførselsprogrammet (RID). Programmet består av 46 av Norges største vassdrag og dekker dermed de største nedbørsfeltene i landet. Biologiske parametere (bunndyr, begroingsalger og fisk) undersøkes hvert tredje år, mens vannkvaliteten (miljøgifter, næringssalter, andre vannkvalitetsparametere) overvåkes månedlig i 20 av elvene. Formålet med programmet er å måle vannkvalitet og effekter av klimaendringer i norske elver, samt beregne totale tilførsler av næringssalter, organisk materiale og miljøgifter til norske havområder. ","State environmental monitoring: The river monitoring program started in 2017 and is a successor to the River input program (RID). The program consists of 46 of Norway's largest watercourses and thus covers the largest catchment areas in the country. Biological parameters (benthic invertebrates, periphyton and fish) are examined every three years, while water quality (environmental contaminants, nutrients, other water quality parameters) is monitored monthly in 20 of the rivers. The purpose of the program is to measure water quality and effects of climate change in Norwegian rivers, as well as calculate total inputs of nutrients, organic matter and environmental contaminants to Norwegian sea areas.",River Monitoring
ELVS,Elveserien. Kjemisk overvåking av norske vassdrag. ,River series. Chemical monitoring of Norwegian watercourses.,"Kjemisk overvåking av et utvalg elver på Sørlandet i forbindelse med oppfølging av vassdragsforsuring startet i 1965/66. Denne overvåkingen ble ledet av daværende Fiskeforskningen, Direktoratet for jakt, viltstell og ferskvannsfisk, senere Direktoratet for naturforvaltning. Målet for denne undersøkelsen var å registrere eventuelle endringer i elvenes forsuringsforhold over tid. Fra begynnelsen av 1990-tallet er antall vassdrag gradvis redusert og flere lokaliteter er etter hvert avviklet. En del vassdrag som fram til 1980-tallet var inkludert i Elveserien, ble siden innlemmet i kalkingsovervåkingen og rapporteres som en del av denne. Elveserien har siden 1995 bestått av 20 lokaliteter fordelt på 18 vassdrag.","Chemical monitoring of a selection of rivers in Southern Norway in connection with follow-up of watercourse acidification started in 1965/66. This monitoring was led by the then Fisheries Research, Directorate for hunting, game management and freshwater fish, later the Directorate for Nature Management. The goal of this survey was to record any changes in the rivers' acidification conditions over time. From the beginning of the 1990s, the number of watercourses has been gradually reduced and several sites have eventually been discontinued. Some watercourses that were included in the River series until the 1980s were later incorporated into liming monitoring and reported as part of this. Since 1995, the River series has consisted of 20 sites distributed across 18 watercourses.",River Series
EMUD,"Effekter av mudring, utfylling og dumping","Effects of dredging, filling and dumping","Pålagte undersøkelser for å vurdere effekten av mudring, utfylling og dumping av masser som kan medføre forurensning, jf. forurensningsforskriftens § 22.","Mandatory surveys to assess the effect of dredging, filling and dumping of masses that may cause pollution, cf. section 22 of the Pollution Regulations.",Dredging & Dumping
EUTR,Landsomfattende trofiundersøkelse,Nationwide trophic survey,Statlig program for forurensningsovervåking: Landsomfattende/regional undersøkelse av trofitilstanden i norske innsjøer (EUREGI). Programmet ble avsluttet i 2001.,State program for pollution monitoring: Nationwide/regional survey of the trophic state in Norwegian lakes (EUREGI). The program was terminated in 2001.,Trophic Survey (EUREGI)
FLYP,Overvåking av påvirkning fra flyplasser,Monitoring of impact from airports,Overvåking i regi av Forsvarsbygg og Avinor for å spore effekter av avrenning til grunnvann og vassdrag fra flyplasser.,Monitoring by the Norwegian Defence Estates Agency and Avinor to trace effects of runoff to groundwater and watercourses from airports.,Airport Impact
FORS,Forsuringsovervåking,Acidification monitoring,"Statlig program for forurensningsovervåking: Overvåking av effekter av langtransportert forurenset luft og nedbør. Programmet skal ivareta registrering av endringer i forsuringsforhold i større nedbørfelt (elver), innsjøer og feltforskningsområder.","State program for pollution monitoring: Monitoring of effects of long-range transported polluted air and precipitation. The program shall maintain registration of changes in acidification conditions in larger catchment areas (rivers), lakes and field research areas.",Acidification
FOSJ,Overvåking av forurenset sjøbunn,Monitoring of polluted seabed,Kartlegging av sedimenter langs norskekysten som har forhøyede konsentrasjoner av miljøgifter eller myndighetspålagt overvåking i områder hvor det planlegges eller gjennomføres oppryddingstiltak.,Mapping of sediments along the Norwegian coast that have elevated concentrations of environmental contaminants or authority-mandated monitoring in areas where remediation measures are planned or implemented.,Polluted Seabed
FREM,Overvåking av fremmede arter,Monitoring of alien species,Overvåking av arter som opptrer på «Fremmedartlista 2018» publisert av Artsdatabanken.,"Monitoring of species listed on the ""Alien Species List 2018"" published by the Norwegian Biodiversity Information Centre.",Alien Species
FULM,JAMP Fullmar Plastic North Sea,JAMP Fulmar Plastic North Sea,Monitoring and Assessment of plastic particles in stomachs of fulmars in the North Sea area. OSPAR agreement 2015-03.,Monitoring and Assessment of plastic particles in stomachs of fulmars in the North Sea area. OSPAR agreement 2015-03.,Fulmar Plastic
GEOS,Geologi i Oslo-regionen (GEOS),Geology in the Oslo region (GEOS),"En omfattende geologisk kartlegging og prøvetakning i Oslo-regionen 2003 - 2009. I regi av GEOS-prosjektet har NGU foretatt en heldekkende maringeologisk kartlegging av Oslofjorden. Målet med kartleggingen var blant annet å skaffe informasjon om dybdeforhold, lage kart over bunntyper, definere sedimentmektigheter og akkumulasjonsområder, og å kartlegge miljøtilstanden. I 53 kjerneprøver av bunnsedimenter ble det ved kjemiske analyser målt konsentrasjoner av tungmetaller og andre miljøelementer.","An extensive geological mapping and sampling in the Oslo region 2003 - 2009. Under the GEOS project, NGU has conducted comprehensive marine geological mapping of the Oslo Fjord. The goal of the mapping was among other things to obtain information about depth conditions, create maps of bottom types, define sediment thicknesses and accumulation areas, and to map environmental conditions. In 53 core samples of bottom sediments, concentrations of heavy metals and other environmental elements were measured through chemical analyses.",Oslo Geology (GEOS)
GRUV,Overvåking av gruvepåvirka vassdrag,Monitoring of mine-impacted watercourses,Kartlegging og overvåking av forurensninger fra aktive og nedlagte gruver og overvåking av effekter av gjennomførte tiltak for å redusere avrenning av tungmetaller fra gruveområder.,Mapping and monitoring of pollution from active and closed mines and monitoring of effects of implemented measures to reduce runoff of heavy metals from mine areas.,Mine Impact
GRVN,Overvåking av grunnvann,Groundwater monitoring,Overvåking i regi av NGU: «Landsomfattende mark- og grunnvannsnett (LGN)» og «Kartlegging og overvåkning av typelokaliteter for grunnvann med antropogen belastning».,"Monitoring by NGU: ""National soil and groundwater network (LGN)"" and ""Mapping and monitoring of type localities for groundwater with anthropogenic loading"".",Groundwater
HAVF,Overvåking av havforsuring,Ocean acidification monitoring,"Statlig miljøovervåking: Havforsuring er en ganske nyoppdaget problemstilling, og denne typen overvåkning er derfor også ny. I første omgang er det derfor viktig å finne ut mer om hvordan tilstanden er i norske havområder, både hvor store de naturlige svingningene er, men også hvor fort havet blir surere på grunn av menneskeskapte CO2-utslipp. Programmer omfatter prøvetaking i overflaten og i vannsøylen langs faste transekter i Skagerrak, Norskehavet og Barentshavet.","State environmental monitoring: Ocean acidification is a fairly newly discovered problem, and this type of monitoring is therefore also new. Initially, it is therefore important to find out more about what the situation is in Norwegian sea areas, both how large the natural fluctuations are, but also how quickly the ocean is becoming more acidic due to man-made CO2 emissions. Programs include sampling at the surface and in the water column along fixed transects in the Skagerrak, Norwegian Sea and Barents Sea.",Ocean Acidification
IKOS,IKO Svalbard,IKO Svalbard,Statlig miljøovervåking: Uttesting av konsept for integrert klimaovervåking i vann (2022-2026). Formålet med prosjektet er å teste ut om konsept for integrert klimaovervåking i vann kan være en god tilnærming for langsiktig dokumentasjon på eksisterende/pågående klimaeffekter. Data som samles inn vil være viktige for modellering av klimaendringenes effekt på akvatiske økosystemer i Arktis og på fastlandet.,State environmental monitoring: Testing of concept for integrated climate monitoring in water (2022-2026). The purpose of the project is to test whether the concept for integrated climate monitoring in water can be a good approach for long-term documentation of existing/ongoing climate effects. Data collected will be important for modeling the effect of climate change on aquatic ecosystems in the Arctic and on the mainland.,Climate Monitoring (IKO)
INDU,Overvåking av påvirkning fra industri,Monitoring of impact from industry,"Myndighetspålagt overvåking av industri med utslippstillatelse, jf. Forurensningslovens § 51 eller Forurensningsforskriften.","Authority-mandated monitoring of industry with discharge permits, cf. section 51 of the Pollution Act or the Pollution Regulations.",Industrial Impact
INNL,Overvåking av innlandsfisk,Monitoring of inland fish,"Overvåking av fiskebestander for å fastsette lokale forskrifter om fisketider, tillatt redskap og soner for fiske.","Monitoring of fish stocks to determine local regulations on fishing times, permitted gear and zones for fishing.",Inland Fish
JOVA,Jord- og vannovervåking i landbruket,Agricultural soil and water monitoring,"Nasjonalt overvåkingsprogram (JOVA-programmet) for landbruksdominerte nedbørfelt. Har et landsdekkende nett av målestasjoner i små nedbørfelt dominert av jordbruk, hvor det måles avrenning og analyseres for vannkvalitet i bekker i jordbrukslandskapet.","National monitoring program (JOVA program) for agriculture-dominated catchments. Has a nationwide network of measuring stations in small catchments dominated by agriculture, where runoff is measured and water quality is analyzed in streams in the agricultural landscape.",Agricultural Soil & Water
JRBN,Overvåking av påvirkning fra jernbane,Monitoring of impact from railways,Overvåking i regi av Bane NOR og andre utbyggere for å undersøke miljøeffektene av utbygging av jernbane før og under anleggsperioden og i etterfølgende driftsfase.,Monitoring by Bane NOR and other developers to investigate the environmental effects of railway development before and during the construction period and in the subsequent operational phase.,Railway Impact
KAKA,Kartlegging av kalksjøer,Mapping of calcareous lakes,"Undersøkelser i innsjøer omtalt som viktig naturtype (Kalksjø E07) i ferskvann/våtmark, jf. DN-håndbok 13-2006.","Surveys in lakes referred to as important nature type (Calcareous lake E07) in freshwater/wetland, cf. DN handbook 13-2006.",Calcareous Lakes
KALK,Tiltaksovervåking i kalkede laksevassdrag,Measures monitoring in limed salmon watercourses,"Nasjonalt program for biologisk og vannkjemisk overvåking av effekten av kalking i laksevassdrag. De overordnede målene for kalkingsvirksomheten
er å sikre eller gjenskape «god økologisk tilstand» etter vannforskriften med hensyn til forsuring, og å
sikre god tilgjengelighet til fritidsfiske (høstbart overskudd) i forsuringsrammede områder.","National program for biological and water chemistry monitoring of the effect of liming in salmon watercourses. The overarching goals for liming activities are to ensure or recreate ""good ecological status"" according to the Water Framework Directive with regard to acidification, and to ensure good availability for recreational fishing (harvestable surplus) in acidification-affected areas.",Limed Salmon Waters
KALL,Lokal overvåking av kalka vassdrag,Local monitoring of limed watercourses,Lokalt program for overvåking av effekten av kalking og gi grunnlag for å evaluere og eventuelt kunne justere kalkingsstrategien.,Local program for monitoring the effect of liming and provide a basis for evaluating and possibly adjusting the liming strategy.,Local Liming
KART,Kartlegging av arter,Mapping of species,Nasjonal kartlegging av funksjonsområder til arter i ferskvann og sjø.,National mapping of functional areas for species in freshwater and sea.,Species Mapping
KAVE,Overvåking av påvirkning fra vegtrafikk,Monitoring of impact from road traffic,"Overvåking i regi av Statens vegvesen, Nye Veger AS og andre utbyggere for å undersøke miljøeffektene av utbygging av veg før og under anleggsperioden og i etterfølgende driftsfase.","Monitoring by the Norwegian Public Roads Administration, Nye Veger AS and other developers to investigate the environmental effects of road development before and during the construction period and in the subsequent operational phase.",Road Traffic Impact
KOMM,Overvåking av påvirkning fra avløp,Monitoring of impact from sewage,"Overvåking i regi av kommuner for å undersøke miljøeffekter i resipienter av utslipp fra renseanlegg, overløp eller andre urensede utslipp.","Monitoring by municipalities to investigate environmental effects in recipients of discharges from treatment plants, overflows or other untreated discharges.",Sewage Impact
KYST,Kystovervåkingsprogrammet,Coastal monitoring program,Statlig program for forurensningsovervåking: Langtidsovervåking av miljøkvaliteten i kystområdene av Norge. Programmet gir oversikt over miljøtilstanden m.h.p. næringssalter og dokumenterer effekter av næringssalter på utviklingen og tilstanden i hard- og bløtbunnssamfunnene. Programmet ble avsluttet i 2010 og er videreført sammen med overvåking av sukkertare i programmet ØkoKyst fra og med 2013.,State program for pollution monitoring: Long-term monitoring of environmental quality in the coastal areas of Norway. The program provides an overview of the environmental status with respect to nutrients and documents effects of nutrients on the development and status of hard-bottom and soft-bottom communities. The program was terminated in 2010 and continued together with sugar kelp monitoring in the ØkoKyst program from 2013.,Coastal Monitoring
LANG,Lange tidsserier,Long time series,Årlig tilskudd fra Klima- og miljødepartementet (KLD) til finansiering av lange overvåkingstidsserier for å sikre den grunnleggende forskningsinfrastrukturen som lange tidsserier representerer.,Annual grant from the Ministry of Climate and Environment (KLD) for financing long monitoring time series to ensure the basic research infrastructure that long time series represent.,Long Time Series
LTAM,Langtransporterte atmosfæriske miljøgifter,Long-range transported atmospheric contaminants,"Statlig miljøovervåking: Programmet omfatter overvåking av et utvalg organiske miljøgifter og tungmetaller i luft på Birkenes, Andøya og Zeppelinfjellet (Svalbard). Aktiviteten omfatter også overvåkingsprogrammet Norge - Russland representert ved målestasjonene Svanvik og Karpdalen.","State environmental monitoring: The program includes monitoring of a selection of organic environmental contaminants and heavy metals in air at Birkenes, Andøya and Zeppelinfjellet (Svalbard). The activity also includes the Norway-Russia monitoring program represented by the measuring stations Svanvik and Karpdalen.",Atmospheric Contaminants
MARE,Kartlegging av miljøgifter i sedimenter - MAREANO,Mapping of environmental contaminants in sediments - MAREANO,"MAREANO kartlegger dybde, bunnforhold, biologisk mangfold, naturtyper og forurensning i sedimentene i norske kyst- og havområder.","MAREANO maps depth, bottom conditions, biodiversity, nature types and pollution in sediments in Norwegian coastal and sea areas.",MAREANO Sediments
MGKK,Marine grunnkart i kystsonen,Marine basic maps in the coastal zone,"Et samarbeid mellom Kartverket, Norges geologiske undersøkelse og Havforskningsinstituttet om å samle inn og dele kunnskap og data langs kysten av Norge.","A collaboration between the Norwegian Mapping Authority, the Geological Survey of Norway and the Institute of Marine Research to collect and share knowledge and data along the coast of Norway.",Marine Coastal Maps
MIFE,Miljøgifter i ferskvann,Environmental contaminants in freshwater,Statlig program for forurensningsovervåking: Overvåking av miljøgifter i innsjøsedimenter og ferskvannsfisk. Programmet følger utviklingen i konsentrasjonen av enkelte tungmetaller og organiske miljøgifter i utvalgte innsjøer over hele Norge. Programmet er avsluttet og videreført i MilFersk fra og med 2015.,State program for pollution monitoring: Monitoring of environmental contaminants in lake sediments and freshwater fish. The program follows the development in the concentration of certain heavy metals and organic environmental contaminants in selected lakes throughout Norway. The program was terminated and continued in MilFersk from 2015.,Freshwater Contaminants
MILK,Miljøgifter i kystområdene (MilKys),Environmental contaminants in coastal areas (MilKys),"Statlig miljøovervåking: Programmet følger med på de mest miljøfarlige tungmetallene og organiske miljøgifter i marine organismer langs kysten fra Oslofjorden til Varangerfjorden. I tillegg undersøkes biologisk effekter på et utvalg av stasjonene. Biologisk effektovervåking er inkludert i programmet for å vurdere hvilken påvirkning miljøgifter har på organismer. Programmet er en direkte videreføring av ""Miljøgifter langs norskekysten"" (CEMP).","State environmental monitoring: The program monitors the most environmentally hazardous heavy metals and organic environmental contaminants in marine organisms along the coast from the Oslo Fjord to the Varanger Fjord. In addition, biological effects are investigated at a selection of the stations. Biological effect monitoring is included in the program to assess what impact environmental contaminants have on organisms. The program is a direct continuation of ""Environmental contaminants along the Norwegian coast"" (CEMP).",Coastal Contaminants (MilKys)
MINN,Miljøgifter i ferskvann (MilFersk),Environmental contaminants in freshwater (MilFersk),"Statlig miljøovervåking: Miljøgifter i næringsnett i en stor norsk innsjø (delprogram 1) og basisovervåking av miljøgifter i ferskvannsfisk (delprogram 2). Hensikten med delprogram 1 er å gi informasjon om forekomst og skjebne til miljøgifter i norske ferskvannsøkosystem. Programmet omfatter prøvetaking og analyse av prøver fra ulike nivåer i næringskjeden (abiotiske prøver, plankton og fisk) i en utvalgt stor innsjø. Det vil også måles miljøgiftnivåer i toppredator i en referansesjø for sammenligning. Hensikten med delprogram 2 er å gi informasjon om forekomst og nivå av EUs prioriterte stoffer i ferskvannsfisk.","State environmental monitoring: Environmental contaminants in food webs in a large Norwegian lake (subprogram 1) and baseline monitoring of environmental contaminants in freshwater fish (subprogram 2). The purpose of subprogram 1 is to provide information about the occurrence and fate of environmental contaminants in Norwegian freshwater ecosystems. The program includes sampling and analysis of samples from different levels in the food chain (abiotic samples, plankton and fish) in a selected large lake. Environmental contaminant levels will also be measured in top predators in a reference lake for comparison. The purpose of subprogram 2 is to provide information about the occurrence and level of EU priority substances in freshwater fish.",Freshwater Contaminants (MilFersk)
MIPL,"Mikroplast i kystområder, elver og innsjøer (Mikronor)","Microplastics in coastal areas, rivers and lakes (Mikronor)","Statlig miljøovervåking: Dette overvåkingsprogrammet måler nivåer og typer av mikroplast i norsk kystvann, elver og innsjøer. Mikroplast er definert som faststoffpartikler som inneholder syntetiske eller bearbeidede polymerer i størrelsesorden 5 mm og mindre. Siden mikroplast er en heterogen gruppe med partikler i ulike størrelser, bestående av ulike materialer, med ulik form, tetthet og farge, analyseres hver prøve for størrelse, type plast, form og farge. ","State environmental monitoring: This monitoring program measures levels and types of microplastics in Norwegian coastal waters, rivers and lakes. Microplastics are defined as solid particles containing synthetic or processed polymers in the size range of 5 mm and smaller. Since microplastics are a heterogeneous group of particles in different sizes, consisting of different materials, with different shape, density and color, each sample is analyzed for size, type of plastic, shape and color.",Microplastics (Mikronor)
MIPR,Miljøgifter i produkter,Environmental contaminants in products,,,Product Contaminants
MITE,Miljøgifter i terrestrisk og bynært miljø (Milby),Environmental contaminants in terrestrial and urban environments (Milby),"Statlig miljøovervåking: Programmet søker å besvare spørsmål om miljøgiftene oppfører seg likt i vann som på land, eller om de har en annen skjebne i terrestriske næringskjeder, og om det er forskjeller i miljøgiftnivåer mellom bygd og by. Resultatene fra programmet vil bli brukt i nasjonal og internasjonal regulering av miljøgifter, samt artsforvaltning.","State environmental monitoring: The program seeks to answer questions about whether environmental contaminants behave the same on land as in water, or whether they have a different fate in terrestrial food chains, and whether there are differences in environmental contaminant levels between rural and urban areas. The results from the program will be used in national and international regulation of environmental contaminants, as well as species management.",Terrestrial & Urban Contaminants
MIUR,Miljøgifter i en urban fjord,Environmental contaminants in an urban fjord,"Programmet omfatter undersøkelse av kilder til miljøgifter og hvordan miljøgifter oppfører seg i næringskjeden. Indre Oslofjord brukes som modell for andre fjorder i Norge med lignende påvirkning. Programmet skal også se på om stoffene hoper seg opp i næringskjeden. Disse artene er valgt ut til å representere næringsnettet i Indre Oslofjord: børstemark, reker, flatfisk, torsk, blåskjell og gråmåke. I tillegg skal det tas prøver av overvann og avrenning. Resultatene skal brukes i nasjonal og internasjonal regulering av miljøgifter, kildesporing, i tiltak mot utslipp, og i artsforvaltningen.","The program includes investigation of sources of environmental contaminants and how environmental contaminants behave in the food chain. The Inner Oslo Fjord is used as a model for other fjords in Norway with similar impact. The program will also look at whether the substances accumulate in the food chain. These species have been selected to represent the food web in the Inner Oslo Fjord: polychaetes, shrimp, flatfish, cod, blue mussels and herring gulls. In addition, samples of surface water and runoff will be taken. The results will be used in national and international regulation of environmental contaminants, source tracking, in measures against emissions, and in species management.",Urban Fjord Contaminants
MOMC,Miljøovervåking akvakulturanlegg,Environmental monitoring aquaculture facilities,"Miljøovervåking knyttet til alle akvakulturanlegg. Det omfatter flytende akvakulturanlegg (jf. NS 9410:2016), settefiskanlegg med punktutslipp og landbaserte anlegg.","Environmental monitoring related to all aquaculture facilities. It includes floating aquaculture facilities (cf. NS 9410:2016), smolt facilities with point discharge and land-based facilities.",Aquaculture Facilities
MONS,Feltspesifikk miljøovervåking på norsk sokkel,Field-specific environmental monitoring on the Norwegian shelf,Overvåking av sediment og biota for å påvise og kartlegge forurensning omkring de enkelte installasjonene på norsk sokkel.,Monitoring of sediment and biota to detect and map pollution around individual installations on the Norwegian shelf.,Offshore Installations
MOSE,Moseprogrammet,Moss program,Statlig miljøovervåking: Overvåking av tungmetaller og organisk miljøgifter i etasjemose (Hylocomium splendens).,State environmental monitoring: Monitoring of heavy metals and organic environmental contaminants in feather moss (Hylocomium splendens).,Moss Program
MYFO,Myndighetspålagt forurensningsovervåking,Authority-mandated pollution monitoring,"Karteggingsundersøkelser eller overvåking av effekter av forurensende virksomhet, jf. Forurensningslovens § 51 eller Forurensningsforskriften. Benytt fortrinnsvis mer spesifikke aktiviteter som «Miljøovervåking akvakulturanlegg» (MOMC), «Effekter av vassdragsinngrep» (VASS), «Overvåking av avrenning fra landdeponi» (DEPO), «Overvåking av forurenset sjøbunn» (FOSJ), «Overvåking av påvirkning fra industri (INDU)», «Overvåking av påvirkning fra avløp (KOMM)», «Overvåking av påvirkning fra flyplasser» (FLYP), «Overvåking av påvirkning fra jernbane» (JRNB), «Overvåking av påvirkning fra vegtrafikk» (KAVE) eller «Overvåking av påvirkning fra skytefelt» (SKYT) dersom de passer.","Mapping surveys or monitoring of effects of polluting activity, cf. section 51 of the Pollution Act or the Pollution Regulations. Preferably use more specific activities such as ""Environmental monitoring aquaculture facilities"" (MOMC), ""Effects of watercourse interventions"" (VASS), ""Monitoring of runoff from land disposal sites"" (DEPO), ""Monitoring of polluted seabed"" (FOSJ), ""Monitoring of impact from industry (INDU)"", ""Monitoring of impact from sewage (KOMM)"", ""Monitoring of impact from airports"" (FLYP), ""Monitoring of impact from railways"" (JRNB), ""Monitoring of impact from road traffic"" (KAVE) or ""Monitoring of impact from firing ranges"" (SKYT) if they fit.",Pollution Monitoring
OEKF,Økosystemovervåkning i ferskvann (ØkoFersk),Ecosystem monitoring in freshwater (ØkoFersk),"Statlig miljøovervåking: Programmet startet i 2013 og består av to deler som tidligere har vært separate overvåkningsprogrammer, ""Overvåkning av langtransportert forurenset luft og nedbør - vannkjemisk og biologisk del"" og ""Basisovervåking i ferskvann"". Hensikten med programmet er å vurdere tilstand og utvikling i forhold til Vannforskriftens mål i et utvalg av norske vannforekomster, og å kunne vurdere utvikling når det gjelder forsuringsstatus i norsk natur.","State environmental monitoring: The program started in 2013 and consists of two parts that have previously been separate monitoring programs, ""Monitoring of long-range transported polluted air and precipitation - water chemistry and biological part"" and ""Baseline monitoring in freshwater"". The purpose of the program is to assess condition and development in relation to the Water Framework Directive's goals in a selection of Norwegian water bodies, and to be able to assess development regarding acidification status in Norwegian nature.",Freshwater Ecosystem (ØkoFersk)
OEKK,Økosystemovervåking i kystvann (ØkoKyst),Ecosystem monitoring in coastal waters (ØkoKyst),"Statlig miljøovervåking: Overvåkingsprogrammet startet i 2013 som en arvtager til Kystovervåkingsprogrammet (KYO) og Sukkertareoveråkingen (KYS). Programmet omfatter områdene: Skagerrak, Rogaland, Hordaland, Møre og Romsdal, Trøndelag, Helgeland, Nordland og Finnmark. I områdene Skagerrak og Rogaland er det særlig fokus på overvåking av sukkertare. Økokyst dekker inn deler av den nasjonale basisovervåkingen i henhold til vannforskriften og danner grunnlaget for utvikling av klassifiseringssystemet under vannforskriften.","State environmental monitoring: The monitoring program started in 2013 as a successor to the Coastal monitoring program (KYO) and the Sugar kelp monitoring (KYS). The program covers the areas: Skagerrak, Rogaland, Hordaland, Møre og Romsdal, Trøndelag, Helgeland, Nordland and Finnmark. In the areas Skagerrak and Rogaland there is particular focus on monitoring of sugar kelp. ØkoKyst covers parts of the national baseline monitoring according to the Water Framework Directive and forms the basis for development of the classification system under the Water Framework Directive.",Coastal Ecosystem (ØkoKyst)
