Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Trace metal signatures of Jurassic/Cretaceous black shales from the Norwegian Shelf and the Barents Sea,"Lipinski, M; Warning, B; Brumsack, HJ","Black shale samples of Jurassic to Cretaceous age recovered during the 'Norwegian Shelf Drilling Program' between 1987 and 1991 from Sites 7430/10-U-01 (Barents Sea), 6814/04-U-02 (Norwegian Shelf near the Lofoten) and 6307/07-U-02 (Norwegian Shelf near Trondheim) were analyzed for major and trace elements. These laminated black shales are characterized by high total organic carbon (TOC) and total sulfur (TS) contents as well as by significant enrichments in several redox-sensitive and/or sulfide-forming trace metals (Ag, Bi, Cd, Co, Cr, Cu, Mo, Ni, Re, Sb, Tl, U, V, and Zn). Enrichment factors relative to 'average shale' are comparable to those found in Cenomanian-Turonian boundary event (CTBE) black shales and Mediterranean sapropels. The Re content is high in the studied black shales, with maximum values up to 1221 ng/g. Re/Mo ratios averaging 2.3 x 10(-3) are close to the seawater value. High trace metal enrichments and Re/Mo ratios close to the seawater value point to a dominantly anoxic and sulfidic water column during black shale formation. Interbeds with higher Re/Mo ratios, especially in high-resolution sampled core sections, point to brief periods of suboxic conditions. Additionally, enhanced Zn concentrations in the black shales from the Barents Sea support the assumption that hydrothermal activity was also high during black shale deposition. Trace metal signatures of black shales at different drill sites on a transect along the Norwegian Shelf are not only influenced by water depth but also by their location in the boreal realm. Metal enrichments are higher in the northern compared to the southern sites. Volgian (=Tithonian 151-144 Ma BP) black shales exhibit elevated trace metal contents in comparison to their Berriasian (144-137 Ma BP) counterparts. This probably reflects a change in the circulation pattern during periods of black shale formation. Therefore different paleoceanographic conditions, probably controlled by climatic change linked to the transgression of the paleo-sealevel and the North Atlantic opening, may have developed from the Volgian to the Berriasian. (C) 2002 Elsevier Science B.V. All rights reserved.",2003,,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,190,,459-475,WOS:000180925900025,10.1016/S0031-0182(02)00619-3,,#61,Lipinski 2003,,Cu environmental chemistry; marine; pre-2010; primary source; sediment
Dissolved and particulate trace elements in late summer Arctic melt ponds,"Marsay, CM; Aguilar-Islas, A; Fitzsimmons, JN; Hatta, M; Jensen, LT; John, SG; Kadko, D; Landing, WM; Lanning, NT; Morton, PL; Pasqualini, A; Rauschenberg, S; Sherrell, RM; Shiller, AM; Twining, BS; Whitrnore, LM; Zhang, RF; Buck, CS","Melt ponds are a prominent feature of Arctic sea ice during the summer and play a role in the complex interface between the atmosphere, cryosphere and surface ocean. During melt pond formation and development, micronutrient and contaminant trace elements (TEs) from seasonally accumulated atmospheric deposition are mixed with entrained sedimentary and marine-derived material before being released to the surface ocean during sea ice melting. Here we present particulate and size-fractionated dissolved (truly soluble and colloidal) TE data from five melt ponds sampled in late summer 2015, during the US Arctic GEOTRACES (GN01) cruise. Analyses of salinity, delta O-18, and Be-7 indicate variable contributions to the melt ponds from snowmelt, melting sea ice, and surface seawater. Our data highlight the complex TE biogeochemistry of late summer Arctic melt ponds and the variable importance of different sources for specific TEs. Dissolved TE concentrations indicate a strong influence from seawater intrusion for V, Ni, Cu, Cd, and Ba. Ultrafiltration methods reveal dissolved Fe, Zn, and Pb to be mostly colloidal (0.003-0.2 mu m), while Mn, Co, Ni, Cu, and Cd are dominated by a truly soluble ( < 0.003 mu m) fraction. Isotopically light dissolved Fe in some melt ponds suggests that photochemical and/or biologically driven redox cycling also takes place. Comparisons of particulate TE/Al ratios to mean crustal values indicate influences from lithogenic sources, including natural aerosols and/or sedimentary material, with significant enrichments for some elements, including Ni, Cu, Zn, Cd and Pb, that may result from anthropogenic aerosols, biogenic material, and/or in situ scavenging of dissolved TEs. Our results indicate that melt ponds represent a transitional environment in which some atmospherically-derived TEs undergo physical and/or chemical changes before their release to the surface ocean. As a result, the ongoing changes in sea ice areal extent, thickness, and melt season length are likely to influence the bioavailability of atmospheric TE input to the surface Arctic Ocean, with material released from snow and sea ice via melt ponds earlier in the summer and with more extensive direct deposition to the ocean surface.",2018,,MARINE CHEMISTRY,204,,70-85,WOS:000443668500007,10.1016/j.marchem.2018.06.002,,#69,Marsay 2018,,freshwater; terrestrial
Temporal trends of contaminants in cod from Icelandic waters,"Sturludottir, E; Gunnlaugsdottir, H; Jorundsdottir, HO; Magnusdottir, EV; Olafsdottir, K; Stefansson, G","Contaminants have been analyzed in cod (Gadus morhua) since 1990 as part of the national monitoring program for the environmental conditions in the sea around Iceland. The aim of this study was to determine the temporal trends of persistent organic pollutants (POPs: polychlorinated biphenyls (PCBs), p,p'-dichlorodiphenyl dichloroethene (p,p'-DDE), hexachlorobenzene (HCB), hexachlorocyclohexanes (HCHs), chlordanes (CHLs) and toxaphenes (Tox)) and trace elements (As, Cd, Cu, Hg, Pb, Se and Zn) in cod over the last two decades at two different locations in the Arctic Ocean north of Iceland. The relationship between the contaminant concentrations and biological covariates was also determined. All of the POPs showed decreasing trends but the trace elements showed no clear signs of trend except arsenic which showed an increasing trend and zinc which showed a decreasing trend. The concentration of the POPs were lower or similar in the Icelandic cod compared to cod sampled in Norway, the Barents Sea and in the Baltic Sea, except for HCB which was higher in the Icelandic cod compared to the Norwegian cod. The concentration of the trace elements As, Cu, Hg and Zn were similar in the Icelandic cod compared to cod sampled in Norway and Greenland but the concentration of Cd was higher in the Icelandic cod. The inclusion of the biological covariates was found to be important for the statistical analysis. The POPs had a positive relationship with liver fat content but negative relationship with liver weight. The trace elements had a negative relationship with liver fat and liver weight except As which had positive relationship with liver weight Only positive relationships were observed between the contaminant concentrations and length. (c) 2014 Elsevier B.V. All rights reserved.",2014,,SCIENCE OF THE TOTAL ENVIRONMENT,476,,181-188,WOS:000333772500020,10.1016/j.scitotenv.2014.01.005,,#71,Sturludottir 2014,,Cu biology; biota; marine; primary source
Effects of the Atlantic water and glacial run-off on the spatial distribution of particulate trace elements in the Kongsfjorden,"Bazzano, A; Ardini, F; Terol, A; Rivaro, P; Soggia, F; Grotti, M","Trace elements associated to suspended particulate matter have been investigated in the marine environment of Kongsfjorden (Svalbard Islands, Norwegian Arctic), in order to provide detailed information on their spatial variability and a quantitative assessment of the natural and anthropogenic sources. During a survey in July 2014, hydrographic and biogeochemical parameters were measured in addition to trace metals along the water column at eight representative sites and the contribution of the natural and anthropogenic sources was quantified by measuring (208)pb/(207)pb and (206)pb/(207)pb isotope ratios.Al, Co, Fe, K, and V were strongly affected by glacial run-off and their content decreased moving from the inner to the outer basin. Conversely, Cd, Cr, Cu, Ni and Zn were significantly enriched compared to crustal values and their concentration was higher in the outer part of the fjord. Maximum contribution for anthropogenic particulate Pb (>85%) was recorded in the upper 100 m of the water column in the outer part of the fjord. On the other hand, the contribution for terrigenous particulate Pb to surface waters was highest in the innermost station (similar to 60%), close to the glacier front, and decreased linearly (R-2 = 0.952, p-value < 0.0001) with distance from Kongsvegen terminus. (C) 2017 Elsevier B.V. All rights reserved.",2017,,MARINE CHEMISTRY,191,,16-23,WOS:000399865800003,10.1016/j.marchem.2017.02.007,,#74,Bazzano 2017,,marine; primary source; sediment
"Heavy Metals in a High Arctic Fiord and Their Introduction with the Wastewater: A Case Study of Adventfjorden-Longyearbyen System, Svalbard","Kalinowska, A; Szopinska, M; Chmiel, S; Konczak, M; Polkowska, Z; Artichowicz, W; Jankowska, K; Nowak, A; Luczkiewicz, A","Longyearbyen is the largest settlement on Svalbard archipelago, with 2400 permanent residents and approximately 150,000 tourists visiting every year. The city annually releases approximately 285,000 m(3) of untreated wastewater to the nearby Adventfjorden. To date, the environmental impact of this continuous input has been studied mainly regarding the sediments and benthic fauna in the fiord. Here, we present results from a study of raw wastewater entering Adventfjorden as well as heavy metals concentrations in the water column within the fjord itself. Two surveys were carried out in summer and autumn season 2018, to establish physical and chemical properties of water at various locations. Trace elements (V, Cr, Mn, Fe, Co, Ni, Cu, Zn, Hg, As, Cd, Pb, U), total suspended solids (TSS) and total organic carbon (TOC) were measured. Our results show that Longyearbyen's raw wastewater introduces low concentrations of heavy metals to the fiord, but due to the growing number of inhabitants and tourists, it should be monitored to avoid degradation of Adventfjorden ecosystem",2020,,WATER,12,3,,WOS:000529249500179,10.3390/w12030794,,#77,Kalinowska 2020,,freshwater; marine; primary source
"Episodic discharge of lead, copper and antimony from a Norwegian small arm shooting range","Stromseng, AE; Ljones, M; Bakka, L; Mariussen, E","Small arm shooting ranges are major deposits of lead (Pb), copper (Cu), antimony (Sb), and zinc (Zn) from use of ammunition. Metals and metalloids from the ammunition residues may leach into the soil and surrounding watercourses and may pose a threat to exposed wildlife and humans. Discharge of elements is dependent on several factors such as soil properties, hydrological conditions, precipitation and time. In order to identify strategies to limit spread of ammunition residues from shooting ranges it is of importance to gain knowledge of the mobility of the elements from the spent bullets. Here we have monitored the levels of Pb, Cu and Sb in a small drainage stream from a Norwegian military small arm shooting range in 2001 and 2006. The first campaign in 2001 was initiated ahead of the snow-melting period in the spring and continued two months in order to quantify discharge and discharge patterns of the selected elements in the drainage stream. Two shorter campaigns were performed in autumn 2001 during an excavation, and in summer 2006. Mean levels of Pb, Cu and Sb in the stream during the first monitoring period in 2001 were 14 mu g/l, 39 mu g/l and 9 mu g/l respectively. High flow, following precipitation, led to an approximately fourfold increase in the concentration of Pb and threefold increase in the level of Cu and Sb compared to low discharge concentrations. An estimation of discharge of the metals showed that the snow melting period and precipitation events constituted to a large proportion of the total release. A sudden increase in the levels can induce more stress and reduce survival of exposed aquatic animals due to the short time available for adaptation.",2009,,JOURNAL OF ENVIRONMENTAL MONITORING,11,6,1259-1267,WOS:000266795900016,10.1039/b823194j,,#82,Stromseng 2009,PIERRE  BLEVIN (2025-07-20 05:05:15)(Screen): Source?; ,freshwater; pre-2010; terrestrial
Recent environmental change and human impact on Svalbard: the lake-sediment geochemical record,"Boyle, JF; Rose, NL; Appleby, PG; Birks, HJB","As part of a broader investigation into recent environmental change on Svalbard, the inorganic geochemical record of six lake-sediment cores was analysed. The major temporal trends in sediment elemental composition are driven by variations in two contrasting sediment components, both derived from catchment soils: (1) mineral matter, and (2) soil organic matter (SOM), enriched in Fe and Mn oxides and heavy metals. Two environmental impacts are recorded in most or all of the lake sediment sequences. An up-core increase in organic matter can be partly attributed to diagenetic effects, but also requires an enhanced supply of SOM relative to mineral matter. In addition, the central and southern sites all show a ca. 1970 event characterised by an enhanced mineral matter accumulation rate. This requires either an enhanced allochthonous supply or an enhanced mobilisation of littoral sediments. In either case a regional-scale driving force, such as a shift in climate, is required. At five of the lakes the sediment heavy metal concentration profiles can be explained entirely by natural factors. However, at Tenndammen (U), situated close to the Svalbard's largest settlement at Longyearbyen, possible anthropogenic Pb enrichment is found. Comparison of observed and expected heavy metal profiles (based on Greenland ice-core data) shows that the lakes are generally too insensitive to have recorded a long-transported heavy metal pollution signal.",2004,,JOURNAL OF PALEOLIMNOLOGY,31,4,515-530,WOS:000220602400008,10.1023/B:JOPL.0000022549.07298.6e,,#83,Boyle 2004,"Sam Welch (2025-07-18 19:01:07)(Select): Copper is in, so I'll include it. ; PIERRE  BLEVIN (2025-07-15 22:23:54)(Screen): Freshwater but can be seen as a source + need to check if Cu; ",freshwater; pre-2010; sediment
Metallothioneins in Arctic bivalves,"Amiard-Triquet, C; Rainglet, F; Larroux, C; Regoli, F; Hummel, H","In the framework of an International Association for the Promotion of Cooperation with Scientists from the Independent States of the Former Soviet Union (INTAS) Project on biodiversity and adaptation strategies of Arctic coastal marine benthos, research was focused on the role of metallothioneins as a possible indicator of the effect on animals and availability of trace metals in the Arctic. Metallothioneins are low-molecular-weight, cysteine-rich proteins known to be induced by high environmental levels of trace metals. Specimens of Macoma balthica and Mytilus edulis were collected along several Arctic estuaries in the White and Pechora seas; whole tissues for AL balthica and the digestive gland and gills for Al. edulis were dissected, frozen in liquid nitrogen, and lyophilized onboard. Metallothionein concentrations were determined by a polarographic assay. From the same stations organisms and sediments were also collected for metal analysis. The results revealed significant differences in metallothionein concentrations among the stations for Al, balthica. Similar, although less marked, differences were also obtained in the organs of M. edulis. Data on metallothionein were compared with trace metal concentrations in both the organisms and sediments. Also, the relationship with abiotic factors (salinity) and biological variables (size of sampled organisms) was determined. In particular, biological variables seemed to influence metallothionein concentration in the organisms and their effect should be carefully considered for a correct assessment of differences between stations. (C) 1998 Academic Press",1998,,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,41,1,96-102,WOS:000076241000015,10.1006/eesa.1998.1673,,#84,Amiard-Triquet 1998,PIERRE  BLEVIN (2025-07-09 21:34:56)(Screen): Need to check if it includes Cu; ,Cu biology; biota; marine; pre-2010
Water chemistry of tundra lakes in the periglacial zone of the Bellsund Fiord (Svalbard) in the summer of 2013,"Szuminska, D; Szopinska, M; Lehmann-Konera, S; Franczak, L; Kociuba, W; Chmiel, S; Kalinowski, P; Polkowska, Z","Climate changes observed in the Arctic (e.g. permafrost degradation, glacier retreat) may have significant influence on sensitive polar wetlands. The main objectives of this paper arc defining chemical features of water within six small arctic lakes located in Bellsund (Svalbard) in the area of continuous permafrost occurrence. The unique environmental conditions of the study area offer an opportunity to observe phenomena influencing water chemistry, such as: chemical weathering, permafrost thawing, marine aerosols, atmospheric deposition and biological inputs. In the water samples collected during the summer 2013, detailed tundra lake water chemistry characteristics regarding ions, trace elements, pH and specific electrolytic conductivity (SEC25) analysis were determined. Moreover, water chemistry of the studied lakes was compared to the water samples from the Tyvjobekken Creek and precipitation water samples. As a final step of data analysis, Principal Component Analysis (PCA) was performed. Detailed chemical analysis allowed us to conclude what follows: (1) Ca2+, Mg2+, SO4(2-), Sr are of geogenic origin, (2) NO3(-) present in tundra lakes and the Tyvjobekken Creek water samples (ranging from 0.31 to 1.69 mg L-1 and from 0.25 to 1.58 mg L-1 respectively) may be of mixed origin, i.e. from biological processes and permafrost thawing, (3) high contribution of non-sea-salt SO42- > 80% in majority of studied samples indicate considerable inflow of sulphate-rich air to the study area, (4) high content of chlorides in tundra lakes (range: 25.6-32.0% meq L-1) indicates marine aerosol influence, (5) PCA result shows that atmospheric transport may constitute a source of Mn, Co, Ni. Cu, Ga, Ba and Cd. However, further detailed inter-season and multi-seasonal study of tundra lakes in the Arctic are recommended. Especially in terms of detailed differentiation of sources influence (atmospheric transport vs. permafrost degradation). (C) 2017 Elsevier B.V. All rights reserved.",2018,,SCIENCE OF THE TOTAL ENVIRONMENT,624,,1669-1679,WOS:000426355900163,10.1016/j.scitotenv.2017.10.045,,#86,Szuminska 2018,PIERRE  BLEVIN (2025-07-15 17:08:16)(Screen): can be seen as a source in marine ecosystem?; ,freshwater; primary source; terrestrial
Multi-isotopic composition of brown crab (Cancer pagurus) and seafloor sediment from a mine tailing sea disposal impacted fjord ecosystem,"Bank, MS; Ho, QT; Kutti, T; Kögel, T; Rodushkin, I; van der Meeren, T; Wiech, M; Rastrick, S","Sea disposal of mine tailings in fjord ecosystems is an important coastal management issue in Norway and occurs at the land -sea interface. Here we studied accumulation of heavy metals in brown crab (Cancer pagurus) and seafloor sediment from J & oslash;ssingfjord, Norway during 2018 to evaluate long-term, legacy pollution effects of coastal mine tailing sea disposal activities. Nickel and copper sediment pollution in the mine tailing sea disposal area was classified as moderate and severe, respectively, under Norwegian environmental quality standards, and highlights the persistent hazard and legacy impacts of heavy metals in these impacted fjord ecosystems. Mercury, zinc, and arsenic had stronger affinities to brown crab muscle likely due to the presence of thiols, and availability of metal binding sites. Our multi -isotopic composition data showed that lead isotopes were the most useful source apportionment tool for this fjord. Overall, our study highlights the importance and value of measuring several different heavy metals and multiple isotopic signatures in different crab organs and seafloor sediment to comprehensively evaluate fjord pollution and kinetic uptake dynamics. Brown crabs were suitable eco-indicators of benthic ecosystem heavy metal pollution in a fjord ecosystem still experiencing short- and long-term physical and chemical impacts from coastal mining sea disposal activities.",2024,,JOURNAL OF HAZARDOUS MATERIALS,471,,,WOS:001237148000001,10.1016/j.jhazmat.2024.134406,,#88,Bank 2024,,Cu biology; biota; marine; sediment
"Impacts of anthropogenic activities and glacial processes on the distribution of chemical elements in Billefjord, Svalbard, Arctic","Souza-Kasprzyk, J; Kozak, L; Niedzielski, P","The Arctic region is undergoing rapid and extensive transformations due to global climate change. This study investigated the spatial distribution of 31 chemical elements in eight locations in Billefjord, Svalbard, Arctic, with varying degrees of anthropogenic and glacial influences. The west coast of Billefjord has experienced a greater historical anthropogenic impact, while the east coast has larger glaciers and shows less visible evidence of direct human impact. Over 450 topsoil samples collected in the west (abandoned mining town Pyramiden, and glacial valleys of Elsa, Ferdinand, Sven) and east coast of the fjord (glacial valleys of Ebba, Pollock, Ragnar and nearby the Nordenskio center dot ld glacier). These samples were extracted and analyzed by ICP-OES. The results revealed complex distributions of elements among the locations. Nordenskio center dot ld glacier area, along with other locations in the eastern part of the Billefjord, had significantly higher levels of most elements (20 out of 31; As, B, Ca, Cd, Co, Cr, Cu, K, Li, Mg, Mo, Sb, Se, Sn, Sr, Ti, Tl, U, V, Zr). In contrast, Ferdinand Valley and other locations on the western side of the fjord had the lowest mean concentrations of most elements (18 out of 31; B, Ca, Cu, Cd, K, Li, P, Mg, Mo, Sb, Se, Sn, Sr, Ti, Tl, U, V, Zr). These findings highlight the significant influence of glacial processes on the elemental composition of soils within the region. The meltwater flow originating from glaciers in the sampled valleys contributes to the local element load, while the loss of glacier mass is associated with decreased element concentrations within these valleys. These results underscore the complexity of element distribution in the study area and emphasize the necessity for continuous monitoring efforts in this unique and environmentally sensitive region.",2024,,SCIENCE OF THE TOTAL ENVIRONMENT,909,,,WOS:001119268500001,10.1016/j.scitotenv.2023.168534,,#89,Souza-Kasprzyk 2024,,primary source; sediment; terrestrial
The results of measurements of heavy metals in atmospheric aerosols in the open areas of the Arctic Seas in 2009-2010,"Golubeva, NI; Burtseva, LV; Matishov, GG; Il'in, GV","By experimental data on the concentration of toxic microelements (Pb, Cd, Cu, Zn, Ni, Co, and Cr) in atmospheric aerosols over the White and Norwegian Seas in winter-spring period of 2009-2010, the contamination of air environment over two sea basins, significantly different by geographical conditions but being heavily impacted by North-European industrial centres, including the impact of the largest in the European Arctic Kola industrial centre, has been analyzed. It has been indicated and described that the air basin over the White Sea water area, when compared to the Norwegian Sea, is under a significantly greater impact of the emission sources of heavy metals, located on the Kola Peninsula.",2013,,DOKLADY EARTH SCIENCES,453,1,1090-1093,WOS:000328228300005,10.1134/S1028334X13110019,,#93,Golubeva 2013,,air; marine; primary source
Elemental Distribution in Tissues of Shorthorn Sculpins (Myoxocephalus scorpius) from Kongsfjorden in Svalbard,"Ardini, F; Moggia, F; Di Blasi, D; Rivaro, P; Grotti, M; Ghigliotti, L","The shorthorn sculpin (Myoxocephalus scorpius) is considered a suitable sentinel species for marine pollution in the Arctic due to its ecology and stationary habits. To evaluate its role as a bioindicator for potential natural and anthropic impacts on the marine ecosystem of the Kongsfjorden (Svalbard, Norwegian Arctic), 33 female and male specimens of shorthorn sculpins were collected in July 2018 in proximity of the Ny-& Aring;lesund international research facility and analyzed for the content of 25 major and trace elements and methylmercury (MeHg) in the muscle, liver, gonads, and gills by using spectroscopic techniques. Most elements had their maximum average concentrations in the gills (Al, Cr, Fe, Mn, Na, Ni, Pb, Se, Si, Sr, and V), while the livers featured higher contents of some toxic and heavy metals (As, Cd, Cu, Mo, and Zn). The muscle was characterized by high contents of Ca, K, and Mg, while Ba, Co, and P were mostly concentrated in the gonads. The gonads presented higher concentrations of Cr, K, Mg, Ni, P, and V for the males and Co, Cu, Fe, Mn, and Se for the females. Both the total Hg and MeHg concentrations in the muscle correlated with the fish size, indicating bioaccumulation, although high Se/Hg molar ratios (11.0 +/- 2.2) suggested a low toxic potential of mercury.",2024,,JOURNAL OF MARINE SCIENCE AND ENGINEERING,12,12,,WOS:001387677100001,10.3390/jmse12122245,,#94,Ardini 2024,,Cu biology; biota; primary source
Pollution of Russian Northern Seas with Heavy Metals: Comparison of Atmospheric Flux and River Flow,"Vinogradova, AA; Kotova, EI","Fluxes of anthropogenic heavy metals (Pb, Cd, As, Zn, Ni, Cr, and Cu) to the surface of four seas (White, Pechora, Kara, and Laptev seas) in the Russian Arctic have been estimated in this work using previously calculated concentrations of these elements in the surface atmosphere in some island and continental points of the Arctic Ocean. The obtained values were compared with the published data on the fluxes of the same components carried by waters flowing into the seas. Based on EMEP reports, we made some corrections for the data on lead and cadmium fluxes from the atmosphere to White and Pechora sea waters, taking into account pollution sources from European countries and the contribution of processes of the raising of dust and soil particles by wind to the pollution of the European part of Russia. On the whole, the contribution of atmospheric fluxes of HMs to the formation of the environment composition of northern Russian seas is significantly lower than that of the runoff of rivers flowing into the seas. The White Sea is the exception; it is exposed to numerous anthropogenic sources of HM emissions into the atmosphere. It is also reasonable to expect the atmospheric transport of HMs to make a significant contribution to these waters. One can also expect a significant contribution of the atmospheric transport of HMs to waters of distant seas (the Kara and Laptev seas), namely, in the parts of these seas where the influence of largest Siberian rivers (Ob, Yenisei, and Lena) is insignificant.",2019,,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,55,7,695-704,WOS:000504189200003,10.1134/S0001433819070119,,#99,Vinogradova 2019,PIERRE  BLEVIN (2025-07-14 18:22:09)(Screen): Pechora sea is part of the geo area based on the map I see on the protocole; Sam Welch (2025-07-10 16:56:27)(Screen): may be out of spatial scope?; ,marine; projection/estimation; terrestrial
Atmospheric Transport of Anthropogenic Heavy Metals from the Kola Peninsula to the Surfaces of the White and Barents Seas,"Vinogradova, AA; Maksimenkov, LO; Pogarskii, FA","The propagation of air masses and anthropogenic aerosol pollutants from a large industrial region located above the polar circle in the north of the Kola Peninsula is analyzed. The initial data are five-day-traveltime trajectories of air mass transport from the source, which were calculated for each day of January, April, July, and October over a period of 20 years from 1981 to 2000 according to the NOAA reanalysis data on meteorological fields. Seasonal and long-term variations in the mean concentrations of arsenic and heavy metals (Ni, Cu, Pb, Cd, V) in the surface air layer and precipitation over the waters of the White and Barents seas are studied. The results are compared with the published observational data characteristic of the region under study. It is shown that, on the whole, over a year, the atmospheric flux of persistent ecotoxicants from the Kola Peninsula to the waters of the White and Barents seas is fully comparable to the contribution of their inflowing rivers and this flux is dominant for nickel and copper.",2008,,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,44,6,753-762,WOS:000261654500009,10.1134/S0001433808060091,,#101,Vinogradova 2008,,air; marine; pre-2010; terrestrial
Green sea urchins (Strongylocentrotus droebachiensis) as potential biomonitors of metal pollution near a former lead-zinc mine in West Greenland,"Sondergaard, J; Hansson, SV; Mosbech, A; Bach, L","In this study, metal accumulation in green sea urchins (Strongylocentrotus droebachiensis) was investigated near the former Black Angel lead-zinc mine in Maarmorilik, West Greenland. Sea urchins (n = 9-11; 31-59 mm in diameter) were collected from three stations located at < 1 km, 5 km, and 12 km (reference site) away from the former mine site, respectively. After collection, tissue of the sea urchins was divided into gonads and remaining soft parts (viscera) before subjected to chemical analyses. Focus was on eight elements found in elevated concentrations in the mine waste (iron, copper, zinc, arsenic, silver, cadmium, mercury and lead). Sea urchins at the mine site contained significantly more copper, mercury and lead compared with the reference site for both the gonads and viscera, while the latter also contained significantly more iron, zinc and silver. Arsenic and cadmium were not significantly elevated in sea urchins at the mine site. Most elements were found in higher concentrations in the viscera compared with the gonads. For comprehensive monitoring of metal pollution at mine sites, a diverse selection of monitoring organisms is necessary. The study shows that green sea urchins accumulate selected metals and can be used as a monitoring organism for mining pollution, at least for iron, copper, zinc, silver, mercury and lead. However, the results also show that green sea urchins are less likely to reflect small environmental changes in loading of most metals (except iron, copper and silver) and for arsenic compared to suspension feeders such as blue mussels.",2019,,ENVIRONMENTAL MONITORING AND ASSESSMENT,191,9,,WOS:000480243200003,10.1007/s10661-019-7637-3,,#105,Sondergaard 2019,,biota; marine; primary source
"Metals in some dominant vascular plants, mosses, lichens, algae, and the biological soil crust in various types of terrestrial tundra, SW Spitsbergen, Norway","Wojtun, B; Samecka-Cymerman, A; Kolon, K; Kempers, AJ; Skrzypek, G","Arctic environments are commonly considered to be relatively pristine because of minimal local human activity. However, these areas receive air pollution from lower latitude regions. Our goal was to determine concentrations of metals (Cd, Co, Cr, Cu, Fe, Hg, Mn, Ni, Pb, and Zn) in dominant species of vascular plants, mosses, lichens, algae, and in the biological soil crust (BSC), and topsoil (0-3 cm) from various types of tundra in the southwestern part of Spitsbergen, Norway. Results indicate that mosses are more efficient bioaccumulators of Cd, Co, Cr, Cu, Fe, Mn, and Zn than lichens. The highest levels of Co, Cr, Cu, Fe, Hg, Mn, Ni, and Pb were found in the BSC, and the moss species Racomitrium lanuginosum, Sanionia uncinata, and Straminergon stramineum from the polygonal tundra, initial cyanobacteria-moss wet tundra, snow bed cyanobacteria-moss tundra, and flow water moss tundra alimented by melting ice or snow. The observed higher concentrations of Cu and lower concentrations of Hg in mosses, lichens, and vascular plants compared with values observed 20 years earlier were apparently associated with changes in the atmospheric deposition of contaminants over Spitsbergen due to changes in the long-distance transport of anthropogenic emissions from industrialized areas. Prasiola crispa and Salix polaris may be useful bioindicators of Cd and Zn, and the BSC, R. lanuginosum, S. uncinata, and S. stramineum as bioindicators of Co, Cr, Cu, Fe, Hg, Mn, Ni, and Pb. These results may be extrapolated across other areas of Spitsbergen with similar climates.",2013,,POLAR BIOLOGY,36,12,1799-1809,WOS:000327393700008,10.1007/s00300-013-1399-0,,#106,Wojtun 2013,PIERRE  BLEVIN (2025-07-16 05:15:53)(Screen): Can be seen as a source in marine ecosystem; ,Cu biology; biota; primary source; terrestrial
"Metal Distributions in Tigriopus brevicornis (Crustacea, Copepoda) Exposed to Copper, Zinc, Nickel, Cadmium, Silver, and Mercury, and Implication for Subsequent Transfer in the Food Web","Barka, S; Pavilion, JF; Amiard-Triquet, C","The marine copepod Tigriopus brevicornis is a benthic microcrustacean inhabiting splashed rock pools in the intertidal zone. The genus has a worldwide distribution, and some species play an important role as a link in trophic webs. It is well established that many crustaceans are able to survive in contaminated environments by storing metallic pollutants in detoxified form, and thus, they may represent a source of contaminants for their predators. The present study was designed to determine the distribution of bioaccumulated metals, both essential and nonessential, with a view to assessing their availability to the next trophic level. Groups of 1000-1500 adult copepods were exposed for 1-14 days to Ag, Cd, Cu, Hg, Ni, and Zn in water. Three concentrations, chosen to be realistic in comparison with those encountered in polluted environments, were tested for each metal. Copepods were homogenized and metals were analyzed in supernatants (i.e., metals stored in soluble form in soft tissues or easily remobilized from the exoskeleton) and pellets (including metal-rich detoxificatory granules or with cellular debris) recovered after centrifugation. Another experiment, consisting of desorption tests, was designed to evaluate the fraction of metals loosely bound onto the exoskeleton. The bioaccumulation ability is highly variable, as shown by the ratios between the concentrations reached in T brevicornis experimentally exposed to different metals (at higher dose and at day 14) and those in controls (7, 12, 18, 26, 53, and 99, respectively, for Zn, Cu, Ni, Cd, Ag, and Hg). Cu, Zn, and Ni concentrations in copepods increased linearly with time over the whole range of exposure concentrations, whereas a plateau body metal concentration was reached with time particularly at the highest exposure concentrations for Cd, Ag, and Hg. Metals bound onto the exoskeleton were remobilized to different extents, the percentages of desorption being 11, 14, 16, 19, 31, and 32, respectively, for Zn, Cd, Cu, Ni, Ag, and Hg. Metals mainly present in the supernatant (Cd, Ni, Zn) are probably more able to be transferred along a food chain than those which were equally distributed between soluble and insoluble fractions (Ag, Cu, and Hg). (C) 2009 Wiley Periodicals, Inc. Environ Toxicol 25: 350-360, 2010.",2010,,ENVIRONMENTAL TOXICOLOGY,25,4,350-360,WOS:000280035900005,10.1002/tox.20505,,#112,Barka 2010,"Knut Erik Tollefsen Tollefsen (2025-07-16 17:46:43)(Screen): agree to that as it determines accumulation. Claim is that speices has woorldwide distribution as well  ; Sam Welch (2025-07-08 20:43:22)(Screen): this is technically out of scope as a lab study, but we may well wish to come back to it later; ",North Atlantic only; biota; lab study; marine
