Paper ID,Title,Objectives,Domain,Stressors,Review Protocol,Compartments & Flows,N Studies,Domain Rationale,Species,Internal vs External,Sources vs Behaviour,Evidence Assessment
6,A systematic toxicologic study of polycyclic aromatic hydrocarbons on aquatic organisms via food-web bioaccumulation,Investigate the holistic effects of PAHs on aquatic organisms via food web bioaccumulation,Pearl River and its estuary,Polycyclic aromatic hydrocarbons (PAHs),18 peer-reviewed publications to develop a location-specific AEP for PAHs,"Compartments and flows based on PAHs in water, dietary organisms, and fish, and their trophic relations and food web structure",18,Pearl River and its estuary due to the need to investigate the overall adverse effects of PAHs on aquatic organisms via food web transfer,"Phytoplankton, zooplankton, shrimp, shellfish, and fish",Both,Both,Location-specific AEP comprising 16 KESs to describe the movement of PAHs
12,Aggregate Exposure Pathways for 6PPD Quinone: A Quantitative Source-to-Target Site Case Study Integrating Exposure and Human,Develop an Aggregate Exposure Pathway (AEP) framework to assess the mechanistic transport of 6PPD-Q from environmental sources to neuronal mitochondria in humans,Pearl River Delta,6PPD-quinone (6PPD-Q),The search terms '6PPD-Q' OR '6PPD quinone' in the SCOPUS database and screened titles and abstracts for relevance to the Pearl River Delta and lab-based chemodynamics studies,Key exposure states (KES) and key transitional relationships (KTR) within the AEP framework,23,Pearl River Delta due to its significant urban runoff and vehicle emissions,Fish and humans,Both,Both,WoE assessment approach
61,"Occurrence, distribution characteristics and exposure assessment of perchlorate in the environment in China",Explore the occurrence and distribution patterns of perchlorate in the Chinese environment and assess the potential exposure of Chinese populations to perchlorate,Various regions in China over the past two decades,Perchlorate,"Databases like Web of Science, Springer, ScienceDirect, PubMed, CNKI, Chongqing VIP, and Wanfang with search terms related to perchlorate and environmental matrices in China","An aggregate exposure pathway method, analyzing oral intake, transdermal absorption, and respiratory inhalation",43,A comprehensive survey of perchlorate in the environment across China's vast territory and geographical diversity,Humans (exposure focus),External only,Behaviour only,"Sensitivity analysis to assess the strength of evidence, identifying influential input parameters for exposure dose assessment"
90,Toxicological evidence integration to confirm the biological plausibility of the association between humidifier disinfectant exposure and respiratory diseases using the AEP-AOP framework,Confirm the biological plausibility of the association between humidifier disinfectant exposure and respiratory diseases using the AEP AOP framework,Not specified,Humidifier disinfectant exposure,Not specified,Not specified,Not specified,Not specified,"Rats, mice, and other mammalian model systems",Not specified,Behaviour only,Confidence ratings and level of evidence for health effects
43,Health risks of children's cumulative and aggregative exposure to metals and metalloids in a typical urban environment in China,"Quantify metal(loid) concentrations, exposure levels, and estimate health risks","An industrial city in Hunan Province, China","12 metal(loid)s including Lead, Cadmium, Arsenic, Chromium, Zinc, Copper, Nickel, Manganese, Cobalt, Selenium, Antimony, and Vanadium",Not specified,"Water, food, PM10, soil/dust",Not specified,A typical modern urban area in China known for nonferrous metals,Children,External only,Behaviour only,Not specified
53,Innovative analytical methodologies for characterizing chemical exposure with a view to next-generation risk assessment,"Enhance the screening and identification of a wider range of chemicals of known, emerging, or potential future concern",Environment-food-human continuum without specific spatial or temporal constraints,"Chemicals of known, emerging, or potential future concern",Not specified,Not specified,Not specified,Cover the environment-food-human continuum,Not specified,Both,Both,Not specified
72,Refining the aggregate exposure pathway,Refine the Aggregate Exposure Pathway (AEP) framework,Not specified,"Chemical, biological, biomechanical, and physical agents",Not specified,Key Exposure States (KESs) and Key Transitional Relationships (KTRs) without specific compartmentalization,Not specified,Address the complexity of exposure studies,Humans and fish,Both,Both,Not specified
93,Using the Comparative Toxicogenomics Database to Further Our Understanding of Environmental Exposures on Human Health,Use the Comparative Toxicogenomics Database to understand how environmental exposures affect human health,Not specified,Environmental stressors,"Controlled vocabularies, ontologies, mnemonic codes, and structured notation to transform the literature","Data into toxicogenomics, diseases, phenotypes, and exposure data",Not specified,"Integrate exposure science data with chemical-gene, disease, and phenotype modules",Not specified,External only,Sources only,"Semantic, computable structure to assess evidence strength"
60,Neurotoxicology of Nanomaterials,Review the neurotoxic effects of engineered nanomaterials (ENM) and to structure existing knowledge using the aggregate exposure pathway (AEP) and adverse outcome pathway (AOP) frameworks,Not specified,Engineered nanomaterials (ENM),Not specified,Aggregate exposure pathway (AEP) and adverse outcome pathway (AOP) frameworks,Not specified,Neurotoxic effects of engineered nanomaterials (ENM),Rats and mice,Internal only,Behaviour only,Not specified
2,A case study applying pathway-oriented thinking to problem formulation for planning a systematic review,Develop a conceptual model for scoping and framing and to explore the application of knowledge-assembly tools and pathway-oriented thinking,Not specified,Aluminium-containing antiperspirants (Al-AP),Not specified,Key Exposure States (KES) and Key Transitional Relationships (KTR) to categorize compartments and flows,Not specified,"Widespread use of Al-AP, public health relevance, and regulatory interest",Adult women,Both,Behaviour only,Not specified
64,Organizing mechanism-related information on chemical interactions using a framework based on the aggregate exposure and adverse outcome pathways,"Create a framework for organizing, storing, and using data on chemical interactions in risk assessment",Not specified,Chemical interactions,Not specified,Taxonomy based on the location of interactions on the source-to-outcome continuum,Not specified,Address chemical interactions over the entire source-to-outcome continuum,Not specified,Both,Both,Not specified
75,"Silver nanoparticle (AgNP), neurotoxicity, and putative adverse outcome pathway (AOP): A review",Propose an AOP in combination with AEP for AgNP-induced neurotoxicity,Not specified,Silver nanoparticles (AgNPs),Not specified,AEP framework to organize exposure from sources through exposure media to individual absorption and distribution to target tissues,Not specified,Focus on AgNP-induced neurotoxicity,Mice and rats,Both,Both,Not specified
38,Fate and exposure modeling in regulatory chemical evaluation: new directions from retrospection.,Review the development and application of fate and exposure modeling in regulatory chemical evaluation over the last 20 years,Spatial and temporal scale of exposure in chemical evaluation,Chemical stressors,Not specified,Considering multimedia transport or transformation processes along the AEP,Not specified,Address chemicals of concern using different approaches within the regulatory community,Not specified,Both,Behaviour only,Not specified
55,"Integrating Environmental Dimensions of ""One Health"" to Combat Antimicrobial Resistance: Essential Research Needs.",Integrate environmental dimensions into the One Health approach to combat antimicrobial resistance,Not specified,"Antimicrobials, antimicrobial resistance genes (ARGs), and antimicrobial resistant bacteria (ARB)",Not specified,Not specified,Not specified,Relevance to the One Health approach and the need to address antimicrobial resistance,Not specified,Both,Both,Not specified
54,"Integrating aggregate exposure pathway and adverse outcome pathway for micro/nanoplastics: A review on exposure, toxicokinetics, and toxicity studies.",Integrate exposure and toxicity pathways of micro/nanoplastics (MNPs) using the aggregate exposure pathway (AEP) and adverse outcome pathway (AOP) frameworks,Not specified,Micro/nanoplastics (MNPs),"PubMed search with keywords such as 'occurrence', 'toxicokinetics'/'ADME', and 'toxicity' of MNPs","AEP framework, which includes key events (KEs), key event relationships (KERs), and target site exposure (TSE)",85,Integration of exposure and toxicity pathways of MNPs,Humans and fish,Both,Behaviour only,Insights from literature analysis to connect AEP with AOP
59,Mechanistic integration of exposure and effects: advances to apply systems toxicology in support of regulatory decision-making,"Address data gaps, account for toxicokinetic properties, provide context for toxicity assays, and leverage available data",Not specified,"Multiple chemical, physical, biological, and psychosocial stressors","Systematic review and criteria for data relevance considering human health, experimental animal, and mechanistic data streams",Mechanistic scaffold to organize data into a structured hierarchy,Not specified,Integrate exposure and effects data for risk assessment,Not specified,Both,Behaviour only,Systematic review and criteria for data relevance
69,Pharmacokinetics and effects of tetrabromobisphenol a (TBBPA) to early life stages of zebrafish (Danio rerio),"Assess accumulation and metabolism of TBBPA during embryonic and larval development in zebrafish, and changes in expressions of selected genes in the TR pathway",Zebrafish embryos and larvae from 6 to 122 hours post-fertilization (hpf),Tetrabromobisphenol A (TBBPA),Not specified,One-compartment model for zebrafish and a two-compartment model for water,Not specified,Focus on early life stages of zebrafish due to their sensitivity to developmental effects,Zebrafish (Danio rerio),Both,Behaviour only,Not specified
